# Results for prop be50_340mm_pit:
# Water density was 1025.0 kg*m^-3
V,RPM,T,Q,pwr,eff,J,dist_file
0.100,200.0,1.657,0.199,4.164,0.03980,0.028,sweepvrpm_dist_0.out
0.500,200.0,13.729,1.419,29.727,0.23092,0.140,sweepvrpm_dist_1.out
0.750,200.0,15.536,1.572,32.922,0.35392,0.211,sweepvrpm_dist_2.out
1.000,200.0,18.075,1.815,38.009,0.47556,0.281,sweepvrpm_dist_3.out
1.250,200.0,22.717,2.250,47.125,0.60256,0.351,sweepvrpm_dist_4.out
1.500,200.0,28.789,2.838,59.434,0.72658,0.421,sweepvrpm_dist_5.out
1.750,200.0,28.913,3.077,64.446,0.78513,0.492,sweepvrpm_dist_6.out
2.000,200.0,25.662,2.969,62.186,0.82533,0.562,sweepvrpm_dist_7.out
2.250,200.0,21.776,2.727,57.119,0.85778,0.632,sweepvrpm_dist_8.out
2.500,200.0,17.353,2.354,49.299,0.87996,0.702,sweepvrpm_dist_9.out
2.750,200.0,12.156,1.806,37.823,0.88385,0.772,sweepvrpm_dist_10.out
3.000,200.0,5.736,1.024,21.456,0.80197,0.843,sweepvrpm_dist_11.out
3.250,200.0,-1.642,0.029,0.615,-8.68109,0.913,sweepvrpm_dist_12.out
3.500,200.0,-10.272,-1.062,-22.248,1.61589,0.983,sweepvrpm_dist_13.out
3.750,200.0,-16.345,-1.697,-35.550,1.72419,1.053,sweepvrpm_dist_14.out
4.000,200.0,-20.989,-2.264,-47.410,1.77083,1.123,sweepvrpm_dist_15.out
4.250,200.0,-26.358,-3.072,-64.346,1.74090,1.194,sweepvrpm_dist_16.out
4.500,200.0,-32.055,-4.008,-83.951,1.71823,1.264,sweepvrpm_dist_17.out
4.750,200.0,-37.856,-5.028,-105.308,1.70753,1.334,sweepvrpm_dist_18.out
5.000,200.0,-43.908,-6.158,-128.976,1.70216,1.404,sweepvrpm_dist_19.out
5.250,200.0,-50.209,-7.393,-154.831,1.70247,1.475,sweepvrpm_dist_20.out
