 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   3.000   545.5      0.000   109.8       9.314       532.0     547.425    1.9753   0.4920   0.6194   0.37515  0.5443E-01  0.3297E-01   0.5328   0.3047   1081.       329.5       1.1272  0.1398    
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0236  0.0230  80.639   1.1392  0.09535    77186  0.002   0.8586   0.7588   3.064       3.101      0.4369    
   0.0284  0.0269  78.056   1.1359  0.10873    93698  0.002   0.8566   0.7595   3.089       3.546      0.4379    
   0.0331  0.0305  75.542   1.1327  0.12138   110475  0.002   0.8541   0.7574   3.115       3.928      0.4392    
   0.0379  0.0338  73.098   1.1299  0.13246   127485  0.002   0.8511   0.7547   3.144       4.257      0.4408    
   0.0426  0.0367  70.730   1.1275  0.14157   144557  0.003   0.8476   0.7525   3.173       4.538      0.4426    
   0.0474  0.0392  68.442   1.1256  0.14862   161429  0.003   0.8438   0.7510   3.204       4.776      0.4446    
   0.0521  0.0413  66.241   1.1242  0.15371   177823  0.003   0.8398   0.7504   3.235       4.974      0.4467    
   0.0569  0.0430  64.125   1.1233  0.15699   193507  0.003   0.8356   0.7506   3.266       5.137      0.4489    
   0.0616  0.0442  62.096   1.1228  0.15867   208237  0.003   0.8315   0.7515   3.297       5.268      0.4512    
   0.0664  0.0450  60.153   1.1226  0.15899   221779  0.003   0.8273   0.7530   3.327       5.370      0.4534    
   0.0711  0.0455  58.295   1.1227  0.15821   233910  0.003   0.8233   0.7550   3.357       5.446      0.4557    
   0.0759  0.0455  56.520   1.1230  0.15656   244414  0.004   0.8194   0.7573   3.386       5.500      0.4579    
   0.0806  0.0452  54.826   1.1235  0.15425   253106  0.004   0.8156   0.7598   3.414       5.532      0.4600    
   0.0854  0.0446  53.210   1.1242  0.15144   259817  0.004   0.8120   0.7624   3.441       5.548      0.4620    
   0.0901  0.0436  51.669   1.1249  0.14829   264354  0.004   0.8086   0.7651   3.467       5.547      0.4639    
   0.0949  0.0423  50.201   1.1257  0.14494   266471  0.004   0.8055   0.7677   3.492       5.532      0.4658    
   0.0996  0.0406  48.801   1.1265  0.14150   265927  0.004   0.8025   0.7702   3.516       5.503      0.4675    
   0.1044  0.0386  47.468   1.1273  0.13803   262564  0.004   0.7998   0.7726   3.538       5.464      0.4691    
   0.1091  0.0364  46.197   1.1282  0.13452   256285  0.005   0.7971   0.7750   3.560       5.422      0.4706    
   0.1139  0.0338  44.987   1.1291  0.13102   246716  0.005   0.7944   0.7773   3.581       5.378      0.4722    
   0.1186  0.0308  43.832   1.1299  0.12785   232480  0.005   0.7922   0.7790   3.600       5.319      0.4736    
   0.1234  0.0272  42.729   1.1306  0.12540   211873  0.005   0.7910   0.7796   3.615       5.229      0.4743    
   0.1281  0.0228  41.677   1.1312  0.12372   183801  0.005   0.7907   0.7790   3.626       5.114      0.4745    
   0.1329  0.0178  40.676   1.1320  0.12173   148026  0.005   0.7881   0.7790   3.644       5.068      0.4760    
   0.1376  0.0122  39.727   1.1355  0.10932   104272  0.006   0.7581   0.7988   3.764       5.833      0.4949    
