 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    0.000   386.4      0.000   36.34       4.248       171.9     387.805    1.4449   0.3067   0.0000   0.00000  0.3589E-01  0.2997E-01   1.0731   0.0000   560.3       0.000       0.9243  0.8118    
    0.250   386.4      0.000   36.88       4.119       166.7     387.791    1.4313   0.3002   0.0553   0.04414  0.3643E-01  0.2906E-01   0.8596   0.0166   555.1       9.221       0.9545  0.7286    
    0.500   386.4      0.000   37.92       4.009       162.2     387.780    1.4198   0.2946   0.1169   0.08827  0.3745E-01  0.2828E-01   0.7048   0.0344   550.6       18.96       0.9860  0.6366    
    0.750   386.4      0.000   39.50       3.937       159.3     387.772    1.4123   0.2909   0.1860   0.13241  0.3902E-01  0.2777E-01   0.5970   0.0541   547.6       29.63       1.0166  0.5418    
    1.000   386.4      0.000   41.61       3.918       158.5     387.770    1.4103   0.2899   0.2625   0.17654  0.4109E-01  0.2764E-01   0.5227   0.0761   546.9       41.61       1.0447  0.4496    
    1.250   386.4      0.000   44.15       3.963       160.4     387.775    1.4151   0.2922   0.3441   0.22068  0.4360E-01  0.2796E-01   0.4709   0.1006   548.7       55.19       1.0694  0.3640    
    1.500   386.4      0.000   47.02       4.078       165.0     387.787    1.4271   0.2982   0.4275   0.26481  0.4644E-01  0.2877E-01   0.4339   0.1275   553.4       70.54       1.0905  0.2875    
    1.750   386.4      0.000   50.13       4.266       172.6     387.807    1.4468   0.3076   0.5082   0.30895  0.4951E-01  0.3010E-01   0.4066   0.1564   561.1       87.73       1.1078  0.2214    
    2.000   386.4      0.000   53.37       4.528       183.2     387.834    1.4741   0.3204   0.5826   0.35309  0.5271E-01  0.3194E-01   0.3856   0.1867   571.7       106.7       1.1216  0.1661    
    2.250   386.4      0.000   56.65       4.862       196.7     387.869    1.5092   0.3361   0.6479   0.39722  0.5595E-01  0.3430E-01   0.3687   0.2178   585.4       127.5       1.1321  0.1211    
    2.500   386.4      0.000   59.91       5.269       213.2     387.912    1.5518   0.3541   0.7026   0.44136  0.5917E-01  0.3717E-01   0.3546   0.2488   601.9       149.8       1.1398  0.8575E-01
