Nemo MIL Input                                  

   2       ! Nblades

   0.4321  6.3527    ! CL0    CL_a 
  -0.0055  1.1500    ! CLmin  CLmax

   0.01214  0.01964  0.03927  0.5158    ! CD0    CD2u  CD2l  CLCD0
   100000.0  -0.500            ! REref  REexp

   1.0000  1.0000  1.0000   !  Rfac   Cfac   Bfac
   0.0000  0.0000  0.0000   !  Radd   Cadd   Badd
 
#        r            c        beta
   0.21750E-01  0.19144E-01  82.5418
   0.35250E-01  0.29052E-01  75.7443
   0.48750E-01  0.36671E-01  69.4418
   0.62250E-01  0.41590E-01  63.7163
   0.75750E-01  0.43729E-01  58.5905
   0.89250E-01  0.43264E-01  54.0445
   0.10275      0.40455E-01  50.0333
   0.11625      0.35460E-01  46.5008
   0.12975      0.28042E-01  43.3885
   0.14325      0.16345E-01  40.6412
   0.15000      0.88914E-02  39.4044
