 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    0.000   321.8      0.000   38.52       5.254       177.1     323.350    1.5502   0.3532   0.0000   0.00000  0.2522E-01  0.2024E-01   0.9098   0.0000   501.3       0.000       0.9160  0.8352    
    0.250   321.8      0.000   38.92       5.086       171.4     323.333    1.5326   0.3459   0.0568   0.04364  0.2549E-01  0.1959E-01   0.6981   0.0196   495.5       9.730       0.9462  0.7536    
    0.500   321.8      0.000   39.84       4.933       166.2     323.317    1.5166   0.3390   0.1198   0.08728  0.2609E-01  0.1900E-01   0.5517   0.0406   490.3       19.92       0.9785  0.6609    
    0.750   321.8      0.000   41.35       4.824       162.5     323.305    1.5051   0.3340   0.1908   0.13092  0.2708E-01  0.1858E-01   0.4546   0.0637   486.6       31.01       1.0101  0.5641    
    1.000   321.8      0.000   43.43       4.779       161.0     323.300    1.5004   0.3320   0.2697   0.17456  0.2844E-01  0.1841E-01   0.3905   0.0895   485.1       43.43       1.0392  0.4695    
    1.250   321.8      0.000   46.00       4.812       162.1     323.304    1.5039   0.3335   0.3546   0.21820  0.3012E-01  0.1853E-01   0.3472   0.1183   486.2       57.50       1.0650  0.3813    
    1.500   321.8      0.000   48.94       4.931       166.2     323.316    1.5164   0.3389   0.4418   0.26183  0.3205E-01  0.1899E-01   0.3171   0.1497   490.3       73.41       1.0869  0.3023    
    1.750   321.8      0.000   52.15       5.141       173.2     323.338    1.5383   0.3483   0.5268   0.30547  0.3415E-01  0.1980E-01   0.2953   0.1835   497.4       91.27       1.1050  0.2339    
    2.000   321.8      0.000   55.53       5.442       183.4     323.370    1.5699   0.3612   0.6056   0.34911  0.3636E-01  0.2096E-01   0.2789   0.2188   507.6       111.1       1.1194  0.1765    
    2.250   321.8      0.000   58.98       5.834       196.6     323.411    1.6109   0.3773   0.6750   0.39275  0.3862E-01  0.2247E-01   0.2659   0.2547   521.0       132.7       1.1305  0.1297    
    2.500   321.8      0.000   62.42       6.315       212.8     323.461    1.6613   0.3960   0.7333   0.43639  0.4087E-01  0.2432E-01   0.2553   0.2904   537.4       156.0       1.1387  0.9267E-01
