 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   1.000   454.3      0.000   80.75       9.543       454.0     456.289    1.9993   0.4976   0.1779   0.12365  0.2653E-01  0.1844E-01   0.6539   0.0885   912.3       80.75       0.9867  0.5736    
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0257  0.0254  81.369   0.4174  0.77915    40925  0.001   0.9169  -0.2152   1.050       2.454      0.1349    
   0.0316  0.0262  78.561   0.4623  0.77448    48350  0.001   0.9053  -0.0706   1.068       2.678      0.1366    
   0.0375  0.0273  75.844   0.5152  0.76542    56961  0.001   0.8885   0.0185   1.090       2.976      0.1392    
   0.0434  0.0285  73.217   0.5770  0.76803    66821  0.002   0.8669   0.0756   1.117       3.350      0.1426    
   0.0493  0.0300  70.681   0.6476  0.78919    78031  0.002   0.8409   0.1122   1.150       3.796      0.1470    
   0.0551  0.0317  68.235   0.7264  0.82701    90709  0.002   0.8110   0.1358   1.191       4.309      0.1525    
   0.0610  0.0335  65.881   0.8083  0.86767   104725  0.002   0.7788   0.1533   1.238       4.851      0.1588    
   0.0669  0.0351  63.624   0.8791  0.88140   119303  0.002   0.7487   0.1709   1.285       5.321      0.1651    
   0.0728  0.0363  61.467   0.9245  0.85445   133384  0.002   0.7247   0.1903   1.328       5.618      0.1706    
   0.0787  0.0371  59.410   0.9455  0.79735   146385  0.003   0.7069   0.2108   1.363       5.743      0.1749    
   0.0846  0.0375  57.452   0.9554  0.73297   158252  0.003   0.6928   0.2309   1.393       5.777      0.1785    
   0.0905  0.0376  55.588   0.9654  0.68846   168971  0.003   0.6799   0.2450   1.422       5.786      0.1819    
   0.0964  0.0373  53.815   0.9765  0.66103   178345  0.003   0.6680   0.2535   1.449       5.778      0.1851    
   0.1023  0.0368  52.131   0.9873  0.63613   186116  0.003   0.6573   0.2609   1.475       5.749      0.1881    
   0.1082  0.0360  50.532   0.9968  0.60700   192048  0.004   0.6480   0.2697   1.498       5.696      0.1908    
   0.1140  0.0349  49.013   1.0054  0.57688   195944  0.004   0.6400   0.2790   1.519       5.623      0.1932    
   0.1199  0.0335  47.571   1.0134  0.54913   197623  0.004   0.6330   0.2875   1.539       5.536      0.1954    
   0.1258  0.0319  46.202   1.0211  0.52427   196948  0.004   0.6268   0.2950   1.556       5.440      0.1973    
   0.1317  0.0300  44.902   1.0283  0.50122   193819  0.004   0.6213   0.3019   1.572       5.338      0.1990    
   0.1376  0.0279  43.668   1.0350  0.47922   187930  0.004   0.6163   0.3086   1.586       5.235      0.2006    
   0.1435  0.0254  42.494   1.0410  0.45868   178218  0.005   0.6124   0.3148   1.599       5.119      0.2019    
   0.1494  0.0223  41.376   1.0465  0.44023   163350  0.005   0.6101   0.3197   1.607       4.977      0.2027    
   0.1553  0.0187  40.312   1.0515  0.42384   142435  0.005   0.6094   0.3235   1.611       4.816      0.2029    
   0.1612  0.0146  39.303   1.0565  0.40751   115230  0.005   0.6060   0.3284   1.621       4.715      0.2040    
   0.1671  0.0100  38.351   1.0664  0.37507    81489  0.005   0.5689   0.3560   1.722       5.299      0.2173    
