 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   5.000   454.3      0.000   113.5       13.32       633.6     456.685    2.3947   0.5794   0.8956   0.61824  0.3729E-01  0.2574E-01   0.2382   0.5188   1094.       567.4       0.8244  0.1028E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0257  0.0254  81.369   0.4450  0.02857   133488  0.003   0.9362   0.7091   5.017      0.8457      0.6603    
   0.0316  0.0262  78.561   0.4635  0.02511   139991  0.004   0.9426   0.7966   5.023      0.9111      0.6559    
   0.0375  0.0273  75.844   0.5026  0.02286   148098  0.004   0.9439   0.8518   5.030       1.024      0.6550    
   0.0434  0.0285  73.217   0.5614  0.02112   157886  0.004   0.9416   0.8902   5.041       1.189      0.6566    
   0.0493  0.0300  70.681   0.6384  0.02002   169445  0.004   0.9366   0.9160   5.055       1.412      0.6601    
   0.0551  0.0317  68.235   0.7307  0.01923   182868  0.004   0.9292   0.9340   5.073       1.694      0.6653    
   0.0610  0.0335  65.881   0.8254  0.01986   197759  0.004   0.9208   0.9429   5.096       2.009      0.6714    
   0.0669  0.0351  63.624   0.8939  0.01796   212659  0.004   0.9144   0.9543   5.119       2.278      0.6761    
   0.0728  0.0363  61.467   0.9132  0.01378   225914  0.004   0.9125   0.9669   5.137       2.415      0.6775    
   0.0787  0.0371  59.410   0.8926  0.01000   236923  0.004   0.9144   0.9761   5.149       2.427      0.6761    
   0.0846  0.0375  57.452   0.8636  0.00675   245976  0.004   0.9171   0.9837   5.159       2.396      0.6741    
   0.0905  0.0376  55.588   0.8535  0.00559   253333  0.004   0.9181   0.9866   5.172       2.403      0.6734    
   0.0964  0.0373  53.815   0.8581  0.00603   258904  0.005   0.9177   0.9858   5.186       2.439      0.6737    
   0.1023  0.0368  52.131   0.8641  0.00663   262495  0.005   0.9172   0.9847   5.200       2.469      0.6741    
   0.1082  0.0360  50.532   0.8649  0.00669   263929  0.005   0.9172   0.9846   5.213       2.476      0.6741    
   0.1140  0.0349  49.013   0.8632  0.00652   263072  0.005   0.9174   0.9850   5.224       2.468      0.6739    
   0.1199  0.0335  47.571   0.8623  0.00644   259796  0.005   0.9175   0.9852   5.235       2.456      0.6738    
   0.1258  0.0319  46.202   0.8626  0.00653   254023  0.005   0.9175   0.9849   5.246       2.442      0.6738    
   0.1317  0.0300  44.902   0.8632  0.00670   245708  0.005   0.9175   0.9845   5.256       2.427      0.6739    
   0.1376  0.0279  43.668   0.8633  0.00687   234536  0.006   0.9173   0.9840   5.266       2.409      0.6739    
   0.1435  0.0254  42.494   0.8634  0.00709   219262  0.006   0.9174   0.9833   5.275       2.384      0.6739    
   0.1494  0.0223  41.376   0.8645  0.00745   198361  0.006   0.9177   0.9823   5.282       2.347      0.6737    
   0.1553  0.0187  40.312   0.8665  0.00804   170907  0.006   0.9183   0.9808   5.288       2.301      0.6733    
   0.1612  0.0146  39.303   0.8660  0.00899   136766  0.006   0.9180   0.9783   5.297       2.281      0.6735    
   0.1671  0.0100  38.351   0.8339  0.01043    95837  0.006   0.9077   0.9737   5.344       2.552      0.6811    
