 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   6.000   454.3      0.000   63.22       8.695       413.6     456.201    1.9105   0.4746   0.9170   0.74189  0.2077E-01  0.1681E-01   0.1122   0.4352   871.6       379.3       0.4139  0.9160E-02
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0257  0.0254  81.369   0.2517  0.02541   158812  0.004   0.9614   0.4753   6.009      0.4329      0.7717    
   0.0316  0.0262  78.561   0.2390  0.02323   165866  0.004   0.9684   0.5856   6.011      0.4273      0.7661    
   0.0375  0.0273  75.844   0.2468  0.02071   174650  0.004   0.9707   0.6923   6.014      0.4598      0.7643    
   0.0434  0.0285  73.217   0.2720  0.01899   185237  0.004   0.9700   0.7727   6.019      0.5299      0.7648    
   0.0493  0.0300  70.681   0.3115  0.01864   197708  0.004   0.9673   0.8230   6.025      0.6373      0.7670    
   0.0551  0.0317  68.235   0.3621  0.01846   212154  0.004   0.9631   0.8604   6.035      0.7808      0.7703    
   0.0610  0.0335  65.881   0.4147  0.01728   228094  0.005   0.9583   0.8929   6.046      0.9446      0.7742    
   0.0669  0.0351  63.624   0.4531  0.01562   243833  0.005   0.9547   0.9159   6.058       1.085      0.7771    
   0.0728  0.0363  61.467   0.4662  0.01248   257489  0.005   0.9537   0.9376   6.068       1.162      0.7779    
   0.0787  0.0371  59.410   0.4594  0.00845   268431  0.005   0.9547   0.9586   6.075       1.180      0.7771    
   0.0846  0.0375  57.452   0.4467  0.00540   277059  0.005   0.9564   0.9736   6.080       1.172      0.7757    
   0.0905  0.0376  55.588   0.4385  0.00452   283731  0.005   0.9575   0.9781   6.085       1.169      0.7748    
   0.0964  0.0373  53.815   0.4344  0.00489   288391  0.005   0.9583   0.9766   6.091       1.171      0.7742    
   0.1023  0.0368  52.131   0.4319  0.00539   290858  0.005   0.9588   0.9745   6.097       1.173      0.7737    
   0.1082  0.0360  50.532   0.4298  0.00546   290977  0.005   0.9594   0.9744   6.103       1.171      0.7733    
   0.1140  0.0349  49.013   0.4286  0.00534   288637  0.005   0.9598   0.9751   6.108       1.167      0.7730    
   0.1199  0.0335  47.571   0.4285  0.00529   283740  0.006   0.9601   0.9755   6.113       1.163      0.7727    
   0.1258  0.0319  46.202   0.4293  0.00537   276231  0.006   0.9603   0.9753   6.119       1.159      0.7725    
   0.1317  0.0300  44.902   0.4309  0.00551   266091  0.006   0.9605   0.9748   6.124       1.156      0.7724    
   0.1376  0.0279  43.668   0.4330  0.00566   253005  0.006   0.9605   0.9742   6.129       1.153      0.7724    
   0.1435  0.0254  42.494   0.4357  0.00584   235659  0.006   0.9605   0.9735   6.134       1.149      0.7724    
   0.1494  0.0223  41.376   0.4392  0.00613   212456  0.006   0.9606   0.9723   6.139       1.139      0.7723    
   0.1553  0.0187  40.312   0.4434  0.00660   182450  0.006   0.9608   0.9703   6.143       1.125      0.7721    
   0.1612  0.0146  39.303   0.4469  0.00739   145555  0.007   0.9605   0.9669   6.148       1.125      0.7724    
   0.1671  0.0100  38.351   0.4349  0.00889   101716  0.007   0.9551   0.9590   6.174       1.275      0.7768    
