 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   4.000   486.0      0.000   148.0       15.11       768.8     488.582    2.5819   0.6095   0.7701   0.46232  0.4250E-01  0.2551E-01   0.3796   0.4694   1261.       592.1       1.1411  0.6966E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0257  0.0256  81.380   1.1276  0.08487   110288  0.003   0.8559   0.7159   4.049       2.472      0.5402    
   0.0316  0.0269  78.586   1.1249  0.09808   118336  0.003   0.8719   0.7289   4.064       2.584      0.5303    
   0.0375  0.0280  75.871   1.1264  0.10180   126749  0.003   0.8821   0.7564   4.080       2.681      0.5241    
   0.0434  0.0291  73.237   1.1320  0.09278   135616  0.003   0.8884   0.8006   4.097       2.774      0.5204    
   0.0493  0.0302  70.688   1.1390  0.07550   145658  0.003   0.8918   0.8499   4.116       2.875      0.5184    
   0.0551  0.0316  68.234   1.1437  0.06262   157921  0.003   0.8926   0.8823   4.136       2.998      0.5180    
   0.0610  0.0334  65.878   1.1441  0.06219   172660  0.003   0.8914   0.8881   4.158       3.141      0.5187    
   0.0669  0.0351  63.623   1.1423  0.06816   188197  0.004   0.8893   0.8814   4.181       3.279      0.5199    
   0.0728  0.0364  61.467   1.1410  0.07261   202450  0.004   0.8874   0.8767   4.205       3.390      0.5210    
   0.0787  0.0371  59.411   1.1408  0.07331   214604  0.004   0.8857   0.8775   4.227       3.468      0.5220    
   0.0846  0.0375  57.452   1.1411  0.07246   224990  0.004   0.8842   0.8801   4.249       3.523      0.5229    
   0.0905  0.0376  55.587   1.1412  0.07197   233929  0.004   0.8826   0.8815   4.270       3.563      0.5238    
   0.0964  0.0373  53.815   1.1412  0.07183   241275  0.004   0.8811   0.8818   4.291       3.590      0.5247    
   0.1023  0.0368  52.131   1.1412  0.07150   246735  0.004   0.8795   0.8820   4.311       3.603      0.5256    
   0.1082  0.0360  50.532   1.1413  0.07072   250058  0.005   0.8781   0.8826   4.330       3.605      0.5265    
   0.1140  0.0349  49.013   1.1415  0.06970   251079  0.005   0.8768   0.8834   4.347       3.595      0.5273    
   0.1199  0.0335  47.571   1.1418  0.06862   249651  0.005   0.8756   0.8840   4.364       3.576      0.5280    
   0.1258  0.0319  46.202   1.1420  0.06755   245660  0.005   0.8744   0.8845   4.380       3.550      0.5287    
   0.1317  0.0300  44.902   1.1422  0.06645   239025  0.005   0.8732   0.8849   4.396       3.522      0.5294    
   0.1376  0.0279  43.668   1.1425  0.06531   229408  0.005   0.8720   0.8853   4.411       3.492      0.5302    
   0.1435  0.0254  42.494   1.1428  0.06430   215558  0.006   0.8710   0.8854   4.424       3.452      0.5308    
   0.1494  0.0223  41.376   1.1430  0.06364   195932  0.006   0.8707   0.8848   4.435       3.392      0.5310    
   0.1553  0.0187  40.312   1.1432  0.06339   169556  0.006   0.8710   0.8835   4.443       3.315      0.5308    
   0.1612  0.0146  39.303   1.1434  0.06314   136236  0.006   0.8697   0.8822   4.456       3.284      0.5316    
   0.1671  0.0100  38.351   1.1448  0.05824    95789  0.006   0.8491   0.8901   4.544       3.796      0.5445    
