 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    0.000   321.8      0.000   38.54       5.236       176.4     323.348    1.5483   0.3524   0.0000   0.00000  0.2524E-01  0.2017E-01   0.9101   0.0000   500.6       0.000       0.9146  0.8343    
    0.250   321.8      0.000   38.93       5.067       170.7     323.331    1.5306   0.3450   0.0570   0.04364  0.2549E-01  0.1952E-01   0.6982   0.0197   494.9       9.732       0.9451  0.7526    
    0.500   321.8      0.000   39.84       4.913       165.6     323.315    1.5145   0.3381   0.1203   0.08728  0.2609E-01  0.1893E-01   0.5518   0.0407   489.7       19.92       0.9776  0.6596    
    0.750   321.8      0.000   41.36       4.804       161.9     323.303    1.5030   0.3331   0.1916   0.13092  0.2708E-01  0.1850E-01   0.4547   0.0638   485.9       31.02       1.0094  0.5625    
    1.000   321.8      0.000   43.46       4.759       160.4     323.298    1.4983   0.3311   0.2710   0.17456  0.2846E-01  0.1833E-01   0.3907   0.0897   484.4       43.46       1.0386  0.4675    
    1.250   321.8      0.000   46.06       4.793       161.5     323.302    1.5019   0.3326   0.3565   0.21820  0.3016E-01  0.1846E-01   0.3476   0.1186   485.6       57.57       1.0644  0.3790    
    1.500   321.8      0.000   49.04       4.913       165.6     323.315    1.5145   0.3381   0.4443   0.26183  0.3211E-01  0.1893E-01   0.3177   0.1502   489.7       73.56       1.0863  0.2997    
    1.750   321.8      0.000   52.29       5.125       172.7     323.337    1.5367   0.3476   0.5299   0.30547  0.3424E-01  0.1974E-01   0.2961   0.1842   496.9       91.52       1.1042  0.2312    
    2.000   321.8      0.000   55.72       5.428       182.9     323.368    1.5685   0.3607   0.6092   0.34911  0.3649E-01  0.2091E-01   0.2798   0.2197   507.2       111.4       1.1185  0.1737    
    2.250   321.8      0.000   59.22       5.823       196.2     323.410    1.6098   0.3769   0.6790   0.39275  0.3878E-01  0.2243E-01   0.2670   0.2559   520.6       133.3       1.1295  0.1268    
