Nemo MIL Input                                  

   2       ! Nblades

   0.4321  6.3527    ! CL0    CL_a 
  -0.0055  1.2667    ! CLmin  CLmax

   0.01214  0.01964  0.03927  0.5158    ! CD0    CD2u  CD2l  CLCD0
   100000.0  -0.500            ! REref  REexp

   1.0000  1.0000  1.0000   !  Rfac   Cfac   Bfac
   0.0000  0.0000  0.0000   !  Radd   Cadd   Badd
 
#        r            c        beta
   0.21750E-01  0.13455E-01  69.6217
   0.35250E-01  0.18222E-01  57.6691
   0.48750E-01  0.19808E-01  48.5094
   0.62250E-01  0.19343E-01  41.5949
   0.75750E-01  0.17834E-01  36.3320
   0.89250E-01  0.15848E-01  32.2558
   0.10275      0.13624E-01  29.0357
   0.11625      0.11203E-01  26.4429
   0.12975      0.84493E-02  24.3185
   0.14325      0.47586E-02  22.5505
   0.15000      0.25619E-02  21.8002
