 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   691.0      0.000   72.73       2.872       207.8     692.301    1.3007   0.2308   0.0000   0.00000  0.1704E-01  0.4486E-02   1.4169   0.0000   900.5       0.000       1.1776  0.3634    
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0243  0.0146  67.127   0.7752  1.38198    25841  0.001   0.0000   0.0642  0.3284       10.96      0.3139E-01
   0.0294  0.0166  62.453   0.8574  1.21652    35479  0.001   0.0000   0.0879  0.4044       11.15      0.3871E-01
   0.0346  0.0181  58.198   0.9242  1.06795    45361  0.002   0.0000   0.1125  0.4747       11.15      0.4544E-01
   0.0397  0.0191  54.358   0.9779  0.93862    54970  0.002   0.0000   0.1370  0.5379       11.00      0.5143E-01
   0.0448  0.0196  50.906   1.0212  0.82785    63962  0.002   0.0000   0.1604  0.5936       10.73      0.5665E-01
   0.0500  0.0198  47.805   1.0562  0.73365    72144  0.002   0.0000   0.1824  0.6420       10.40      0.6114E-01
   0.0551  0.0198  45.018   1.0847  0.65380    79412  0.003   0.0000   0.2026  0.6836       10.03      0.6495E-01
   0.0602  0.0195  42.513   1.1080  0.58621    85702  0.003   0.0000   0.2210  0.7188       9.630      0.6813E-01
   0.0654  0.0191  40.257   1.1273  0.52886    91023  0.003   0.0000   0.2375  0.7483       9.224      0.7076E-01
   0.0705  0.0185  38.221   1.1432  0.48006    95397  0.003   0.0000   0.2522  0.7726       8.817      0.7289E-01
   0.0756  0.0179  36.378   1.1566  0.43842    98846  0.004   0.0000   0.2650  0.7922       8.416      0.7458E-01
   0.0807  0.0171  34.705   1.1679  0.40269   101422  0.004   0.0000   0.2761  0.8075       8.023      0.7588E-01
   0.0859  0.0164  33.183   1.1774  0.37195   103147  0.004   0.0000   0.2855  0.8190       7.642      0.7681E-01
   0.0910  0.0156  31.795   1.1855  0.34540   104044  0.004   0.0000   0.2933  0.8268       7.272      0.7742E-01
   0.0961  0.0147  30.523   1.1925  0.32239   104122  0.005   0.0000   0.2995  0.8313       6.914      0.7772E-01
   0.1013  0.0139  29.356   1.1985  0.30244   103350  0.005   0.0000   0.3042  0.8325       6.567      0.7771E-01
   0.1064  0.0130  28.281   1.2036  0.28510   101690  0.005   0.0000   0.3073  0.8304       6.229      0.7741E-01
   0.1115  0.0121  27.290   1.2081  0.27003    99122  0.005   0.0000   0.3089  0.8252       5.900      0.7684E-01
   0.1167  0.0111  26.373   1.2120  0.25691    95632  0.006   0.0000   0.3091  0.8172       5.582      0.7601E-01
   0.1218  0.0101  25.523   1.2155  0.24551    91108  0.006   0.0000   0.3078  0.8067       5.275      0.7495E-01
   0.1269  0.0091  24.733   1.2184  0.23589    85073  0.006   0.0000   0.3046  0.7922       4.967      0.7354E-01
   0.1320  0.0079  23.994   1.2209  0.22820    76917  0.006   0.0000   0.2986  0.7722       4.651      0.7161E-01
   0.1372  0.0065  23.303   1.2231  0.22252    66259  0.007   0.0000   0.2897  0.7469       4.327      0.6920E-01
   0.1423  0.0050  22.663   1.2251  0.21835    53048  0.007   0.0000   0.2807  0.7252       4.048      0.6714E-01
   0.1474  0.0034  22.075   1.2292  0.20950    37251  0.007   0.0000   0.2976  0.7800       4.204      0.7225E-01
