 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   2.000   691.0      0.000   82.56       3.426       247.9     692.359    1.3587   0.2635   0.6661   0.18426  0.1934E-01  0.5351E-02   0.5058   0.1755   940.7       165.1       1.2545  0.9780E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0243  0.0146  67.127   1.2426  0.15820    39780  0.002   0.8867   0.7612   2.097       3.383      0.2078    
   0.0294  0.0166  62.453   1.2403  0.16330    49497  0.002   0.8800   0.7651   2.128       3.659      0.2094    
   0.0346  0.0181  58.198   1.2398  0.16260    59058  0.002   0.8731   0.7697   2.158       3.837      0.2110    
   0.0397  0.0191  54.358   1.2404  0.15823    68069  0.002   0.8666   0.7745   2.187       3.931      0.2126    
   0.0448  0.0196  50.906   1.2417  0.15179    76294  0.003   0.8607   0.7794   2.214       3.960      0.2141    
   0.0500  0.0198  47.805   1.2434  0.14434    83626  0.003   0.8554   0.7842   2.238       3.939      0.2154    
   0.0551  0.0198  45.018   1.2451  0.13662    90016  0.003   0.8508   0.7886   2.260       3.883      0.2166    
   0.0602  0.0195  42.513   1.2468  0.12910    95433  0.003   0.8469   0.7925   2.279       3.801      0.2176    
   0.0654  0.0191  40.257   1.2485  0.12201    99914  0.003   0.8436   0.7959   2.296       3.702      0.2184    
   0.0705  0.0185  38.221   1.2500  0.11547   103491  0.004   0.8408   0.7987   2.311       3.593      0.2192    
   0.0756  0.0179  36.378   1.2514  0.10952   106192  0.004   0.8385   0.8010   2.324       3.476      0.2198    
   0.0807  0.0171  34.705   1.2526  0.10414   108073  0.004   0.8366   0.8029   2.335       3.357      0.2203    
   0.0859  0.0164  33.183   1.2537  0.09932   109154  0.004   0.8350   0.8042   2.344       3.238      0.2207    
   0.0910  0.0156  31.795   1.2547  0.09501   109456  0.005   0.8338   0.8051   2.352       3.120      0.2210    
   0.0961  0.0147  30.523   1.2556  0.09117   108984  0.005   0.8329   0.8055   2.359       3.005      0.2212    
   0.1013  0.0139  29.356   1.2564  0.08778   107700  0.005   0.8322   0.8055   2.364       2.892      0.2214    
   0.1064  0.0130  28.281   1.2572  0.08481   105565  0.005   0.8317   0.8051   2.369       2.783      0.2215    
   0.1115  0.0121  27.290   1.2578  0.08223   102552  0.006   0.8314   0.8041   2.372       2.679      0.2216    
   0.1167  0.0111  26.373   1.2584  0.08001    98648  0.006   0.8312   0.8028   2.376       2.580      0.2217    
   0.1218  0.0101  25.523   1.2589  0.07814    93734  0.006   0.8310   0.8010   2.379       2.489      0.2217    
   0.1269  0.0091  24.733   1.2594  0.07678    87318  0.006   0.8311   0.7983   2.380       2.398      0.2217    
   0.1320  0.0079  23.994   1.2598  0.07614    78780  0.007   0.8320   0.7940   2.380       2.299      0.2215    
   0.1372  0.0065  23.303   1.2602  0.07648    67734  0.007   0.8336   0.7876   2.377       2.197      0.2210    
   0.1423  0.0050  22.663   1.2606  0.07798    54137  0.007   0.8333   0.7789   2.380       2.129      0.2211    
   0.1474  0.0034  22.075   1.2616  0.07910    37968  0.007   0.8107   0.7753   2.443       2.403      0.2273    
