 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   2.500   691.0      0.000   85.67       3.773       273.0     692.395    1.3951   0.2827   0.7844   0.23033  0.2007E-01  0.5894E-02   0.4351   0.2217   966.0       214.2       1.2550  0.5060E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0243  0.0146  67.127   1.2610  0.07848    45673  0.002   0.8946   0.8672   2.584       2.943      0.2575    
   0.0294  0.0166  62.453   1.2602  0.07908    55663  0.002   0.8917   0.8757   2.611       3.205      0.2583    
   0.0346  0.0181  58.198   1.2599  0.07843    65247  0.002   0.8887   0.8812   2.638       3.373      0.2592    
   0.0397  0.0191  54.358   1.2598  0.07692    74094  0.003   0.8858   0.8850   2.664       3.461      0.2600    
   0.0448  0.0196  50.906   1.2600  0.07484    82034  0.003   0.8831   0.8877   2.688       3.489      0.2608    
   0.0500  0.0198  47.805   1.2603  0.07243    89013  0.003   0.8807   0.8897   2.709       3.473      0.2615    
   0.0551  0.0198  45.018   1.2606  0.06989    95018  0.003   0.8786   0.8912   2.729       3.425      0.2621    
   0.0602  0.0195  42.513   1.2610  0.06738   100043  0.003   0.8768   0.8922   2.746       3.354      0.2627    
   0.0654  0.0191  40.257   1.2614  0.06498   104138  0.004   0.8752   0.8928   2.761       3.270      0.2632    
   0.0705  0.0185  38.221   1.2618  0.06273   107346  0.004   0.8739   0.8930   2.774       3.176      0.2636    
   0.0756  0.0179  36.378   1.2622  0.06068   109699  0.004   0.8728   0.8928   2.786       3.077      0.2639    
   0.0807  0.0171  34.705   1.2625  0.05882   111257  0.004   0.8718   0.8924   2.796       2.976      0.2642    
   0.0859  0.0164  33.183   1.2628  0.05715   112037  0.005   0.8710   0.8917   2.805       2.875      0.2644    
   0.0910  0.0156  31.795   1.2631  0.05568   112060  0.005   0.8704   0.8908   2.813       2.776      0.2646    
   0.0961  0.0147  30.523   1.2633  0.05438   111331  0.005   0.8699   0.8895   2.819       2.680      0.2648    
   0.1013  0.0139  29.356   1.2636  0.05328   109808  0.005   0.8695   0.8880   2.825       2.586      0.2649    
   0.1064  0.0130  28.281   1.2638  0.05237   107450  0.005   0.8692   0.8862   2.830       2.495      0.2650    
   0.1115  0.0121  27.290   1.2640  0.05165   104230  0.006   0.8690   0.8841   2.834       2.408      0.2650    
   0.1167  0.0111  26.373   1.2641  0.05112   100131  0.006   0.8688   0.8816   2.838       2.326      0.2651    
   0.1218  0.0101  25.523   1.2576  0.02354    95033  0.006   0.8691   0.9400   2.840       2.240      0.2650    
   0.1269  0.0091  24.733   1.2477  0.02410    88439  0.006   0.8699   0.9362   2.841       2.149      0.2648    
   0.1320  0.0079  23.994   1.2390  0.02510    79718  0.007   0.8712   0.9311   2.839       2.054      0.2644    
   0.1372  0.0065  23.303   1.2315  0.02683    68483  0.007   0.8729   0.9240   2.836       1.957      0.2639    
   0.1423  0.0050  22.663   1.2222  0.02967    54696  0.007   0.8733   0.9135   2.837       1.890      0.2638    
   0.1474  0.0034  22.075   1.1860  0.03385    38338  0.007   0.8580   0.8983   2.885       2.087      0.2684    
