 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   4.500   691.0      0.000   11.77      0.9381       67.88     692.098    1.0982   0.0893   0.7804   0.41459  0.2758E-02  0.1465E-02   0.0360   0.0697   760.1       52.97       0.1496  0.1702E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0243  0.0146  67.127   0.2228  0.01825    72280  0.003   0.9810   0.7625   4.511      0.3702      0.4226    
   0.0294  0.0166  62.453   0.1551  0.01876    84503  0.003   0.9871   0.7016   4.511      0.2875      0.4200    
   0.0346  0.0181  58.198   0.1062  0.01920    95146  0.003   0.9914   0.6110   4.509      0.2104      0.4182    
   0.0397  0.0191  54.358   0.0733  0.01944   104058  0.004   0.9942   0.4986   4.508      0.1507      0.4170    
   0.0448  0.0196  50.906   0.0534  0.01946   111317  0.004   0.9959   0.3905   4.506      0.1114      0.4163    
   0.0500  0.0198  47.805   0.0434  0.01932   117109  0.004   0.9968   0.3277   4.506      0.9046E-01  0.4159    
   0.0551  0.0198  45.018   0.0410  0.01904   121611  0.004   0.9970   0.3368   4.506      0.8453E-01  0.4158    
   0.0602  0.0195  42.513   0.0446  0.01866   124952  0.004   0.9969   0.4032   4.507      0.9006E-01  0.4159    
   0.0654  0.0191  40.257   0.0525  0.01823   127292  0.004   0.9964   0.4899   4.509      0.1035      0.4161    
   0.0705  0.0185  38.221   0.0637  0.01777   128740  0.005   0.9957   0.5722   4.511      0.1221      0.4164    
   0.0756  0.0179  36.378   0.0772  0.01731   129374  0.005   0.9949   0.6409   4.514      0.1438      0.4167    
   0.0807  0.0171  34.705   0.0924  0.01687   129281  0.005   0.9940   0.6948   4.517      0.1667      0.4171    
   0.0859  0.0164  33.183   0.1087  0.01645   128493  0.005   0.9931   0.7366   4.521      0.1898      0.4175    
   0.0910  0.0156  31.795   0.1256  0.01608   127037  0.005   0.9921   0.7689   4.524      0.2124      0.4179    
   0.0961  0.0147  30.523   0.1428  0.01575   124916  0.006   0.9911   0.7939   4.528      0.2338      0.4183    
   0.1013  0.0139  29.356   0.1602  0.01548   122082  0.006   0.9901   0.8133   4.532      0.2539      0.4187    
   0.1064  0.0130  28.281   0.1774  0.01528   118485  0.006   0.9892   0.8283   4.537      0.2724      0.4191    
   0.1115  0.0121  27.290   0.1944  0.01516   114094  0.006   0.9882   0.8398   4.541      0.2893      0.4195    
   0.1167  0.0111  26.373   0.2111  0.01513   108887  0.006   0.9873   0.8486   4.545      0.3050      0.4199    
   0.1218  0.0101  25.523   0.2274  0.01520   102732  0.007   0.9864   0.8550   4.549      0.3195      0.4203    
   0.1269  0.0091  24.733   0.2432  0.01544    95092  0.007   0.9855   0.8587   4.553      0.3321      0.4207    
   0.1320  0.0079  23.994   0.2585  0.01596    85300  0.007   0.9847   0.8595   4.557      0.3414      0.4210    
   0.1372  0.0065  23.303   0.2734  0.01692    72956  0.007   0.9841   0.8565   4.560      0.3479      0.4213    
   0.1423  0.0050  22.663   0.2878  0.01861    58036  0.008   0.9832   0.8479   4.564      0.3585      0.4217    
   0.1474  0.0034  22.075   0.2967  0.02203    40537  0.008   0.9796   0.8257   4.579      0.4260      0.4232    
