 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   5.000   691.0      0.000  -2.582      0.3252       23.53     692.034    1.0341   0.0329  -0.5485   0.46065 -0.6049E-03  0.5080E-03  -0.0071  -0.0180   715.6      -12.91       0.0033  0.4015E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0243  0.0146  67.127   0.0388  0.02367    79294  0.004   0.9966  -0.6080   5.002      0.6079E-01  0.4622    
   0.0294  0.0166  62.453  -0.0054  0.04025    92245  0.004   1.0005  -8.5207   5.000     -0.9517E-02  0.4604    
   0.0346  0.0181  58.198  -0.0054  0.04404   103320  0.004   1.0004  -5.6217   5.000     -0.1016E-01  0.4604    
   0.0397  0.0191  54.358  -0.0054  0.04717   112395  0.004   1.0004  -4.0322   4.999     -0.1054E-01  0.4605    
   0.0448  0.0196  50.906  -0.0054  0.04939   119600  0.004   1.0004  -3.0589   4.999     -0.1069E-01  0.4605    
   0.0500  0.0198  47.805  -0.0054  0.05067   125178  0.004   1.0004  -2.4153   4.999     -0.1069E-01  0.4605    
   0.0551  0.0198  45.018  -0.0054  0.05112   129355  0.004   1.0004  -1.9653   4.999     -0.1057E-01  0.4605    
   0.0602  0.0195  42.513  -0.0054  0.05086   132299  0.004   1.0004  -1.6372   4.999     -0.1038E-01  0.4605    
   0.0654  0.0191  40.257  -0.0054  0.05009   134199  0.005   1.0004  -1.3900   4.999     -0.1014E-01  0.4605    
   0.0705  0.0185  38.221  -0.0054  0.04894   135188  0.005   1.0003  -1.1988   4.999     -0.9878E-02  0.4605    
   0.0756  0.0179  36.378  -0.0054  0.04755   135358  0.005   1.0003  -1.0476   4.999     -0.9597E-02  0.4605    
   0.0807  0.0171  34.705  -0.0054  0.04603   134809  0.005   1.0003  -0.9259   4.999     -0.9313E-02  0.4605    
   0.0859  0.0164  33.183  -0.0054  0.04446   133578  0.005   1.0003  -0.8262   4.999     -0.9031E-02  0.4605    
   0.0910  0.0156  31.795  -0.0054  0.04290   131696  0.006   1.0003  -0.7435   4.999     -0.8756E-02  0.4605    
   0.0961  0.0147  30.523  -0.0054  0.04142   129167  0.006   1.0003  -0.6740   4.999     -0.8490E-02  0.4605    
   0.1013  0.0139  29.356  -0.0054  0.04004   125943  0.006   1.0003  -0.6148   4.999     -0.8235E-02  0.4605    
   0.1064  0.0130  28.281  -0.0054  0.03881   121974  0.006   1.0003  -0.5638   4.999     -0.7989E-02  0.4605    
   0.1115  0.0121  27.290  -0.0054  0.03774   117226  0.006   1.0003  -0.5193   4.999     -0.7756E-02  0.4605    
   0.1167  0.0111  26.373  -0.0054  0.03686   111679  0.007   1.0003  -0.4801   4.999     -0.7541E-02  0.4605    
   0.1218  0.0101  25.523  -0.0054  0.03621   105196  0.007   1.0003  -0.4450   4.999     -0.7345E-02  0.4605    
   0.1269  0.0091  24.733   0.0062  0.02265    97229  0.007   0.9997  -0.1278   5.001      0.8176E-02  0.4608    
   0.1320  0.0079  23.994   0.0261  0.02310    87099  0.007   0.9986   0.1994   5.006      0.3311E-01  0.4613    
   0.1372  0.0065  23.303   0.0454  0.02415    74402  0.008   0.9976   0.3563   5.010      0.5555E-01  0.4618    
   0.1423  0.0050  22.663   0.0647  0.02618    59119  0.008   0.9966   0.4384   5.014      0.7747E-01  0.4622    
   0.1474  0.0034  22.075   0.0828  0.03037    41250  0.008   0.9948   0.4650   5.021      0.1145      0.4630    
