 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   5.500   691.0      0.000  -5.793      0.4733       34.25     692.050    1.0496   0.0472  -0.9304   0.50672 -0.1357E-02  0.7393E-03  -0.0146  -0.0439   726.3      -31.86      -0.0054  0.6379E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0243  0.0146  67.127  -0.0054  0.04553    86386  0.004   1.0005 -16.1577   5.500     -0.8003E-02  0.5065    
   0.0294  0.0166  62.453  -0.0054  0.05350   100108  0.004   1.0005  -9.3618   5.500     -0.8923E-02  0.5065    
   0.0346  0.0181  58.198  -0.0054  0.06117   111659  0.004   1.0004  -6.2295   5.500     -0.9551E-02  0.5065    
   0.0397  0.0191  54.358  -0.0054  0.06760   120942  0.004   1.0004  -4.4990   5.500     -0.9919E-02  0.5065    
   0.0448  0.0196  50.906  -0.0054  0.07242   128133  0.004   1.0004  -3.4281   5.499     -0.1008E-01  0.5065    
   0.0500  0.0198  47.805  -0.0054  0.07560   133530  0.004   1.0004  -2.7129   5.499     -0.1009E-01  0.5065    
   0.0551  0.0198  45.018  -0.0054  0.07728   137408  0.005   1.0004  -2.2088   5.499     -0.9991E-02  0.5065    
   0.0602  0.0195  42.513  -0.0054  0.07769   139971  0.005   1.0004  -1.8387   5.499     -0.9819E-02  0.5065    
   0.0654  0.0191  40.257  -0.0054  0.07709   141441  0.005   1.0003  -1.5585   5.499     -0.9600E-02  0.5065    
   0.0705  0.0185  38.221  -0.0054  0.07573   141974  0.005   1.0003  -1.3408   5.499     -0.9354E-02  0.5066    
   0.0756  0.0179  36.378  -0.0054  0.07382   141678  0.005   1.0003  -1.1681   5.499     -0.9094E-02  0.5066    
   0.0807  0.0171  34.705  -0.0054  0.07157   140665  0.005   1.0003  -1.0288   5.499     -0.8829E-02  0.5066    
   0.0859  0.0164  33.183  -0.0054  0.06910   138981  0.006   1.0003  -0.9147   5.499     -0.8567E-02  0.5066    
   0.0910  0.0156  31.795  -0.0054  0.06654   136659  0.006   1.0003  -0.8200   5.499     -0.8312E-02  0.5066    
   0.0961  0.0147  30.523  -0.0054  0.06398   133707  0.006   1.0003  -0.7405   5.499     -0.8065E-02  0.5066    
   0.1013  0.0139  29.356  -0.0054  0.06150   130076  0.006   1.0003  -0.6731   5.499     -0.7827E-02  0.5066    
   0.1064  0.0130  28.281  -0.0054  0.05915   125716  0.006   1.0003  -0.6153   5.499     -0.7599E-02  0.5066    
   0.1115  0.0121  27.290  -0.0054  0.05698   120592  0.007   1.0003  -0.5653   5.499     -0.7383E-02  0.5066    
   0.1167  0.0111  26.373  -0.0054  0.05502   114685  0.007   1.0003  -0.5217   5.499     -0.7183E-02  0.5066    
   0.1218  0.0101  25.523  -0.0054  0.05332   107853  0.007   1.0003  -0.4832   5.499     -0.7003E-02  0.5066    
   0.1269  0.0091  24.733  -0.0054  0.05199    99536  0.007   1.0003  -0.4488   5.499     -0.6821E-02  0.5066    
   0.1320  0.0079  23.994  -0.0054  0.05123    89043  0.007   1.0003  -0.4174   5.499     -0.6612E-02  0.5066    
   0.1372  0.0065  23.303  -0.0054  0.05130    75967  0.008   1.0003  -0.3882   5.499     -0.6384E-02  0.5066    
   0.1423  0.0050  22.663  -0.0054  0.05265    60291  0.008   1.0003  -0.3600   5.499     -0.6264E-02  0.5066    
   0.1474  0.0034  22.075  -0.0054  0.05665    42023  0.008   1.0003  -0.3314   5.499     -0.7247E-02  0.5066    
