 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   6.500   691.0      0.000  -13.16      0.9845       71.24     692.103    1.1031   0.0933  -1.2007   0.59885 -0.3083E-02  0.1538E-02  -0.0280  -0.1120   763.5      -85.54      -0.0053  0.1184    
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0243  0.0146  67.127  -0.0054  0.06616   100737  0.005   1.0005 -19.9269   6.500     -0.7119E-02  0.5986    
   0.0294  0.0166  62.453  -0.0054  0.08322   116096  0.005   1.0005 -11.8104   6.500     -0.7966E-02  0.5986    
   0.0346  0.0181  58.198  -0.0053  0.09955   128708  0.005   1.0004  -7.9920   6.500     -0.8555E-02  0.5986    
   0.0397  0.0191  54.358  -0.0053  0.11368   138511  0.005   1.0004  -5.8338   6.500     -0.8911E-02  0.5986    
   0.0448  0.0196  50.906  -0.0053  0.12496   145773  0.005   1.0004  -4.4735   6.499     -0.9078E-02  0.5986    
   0.0500  0.0198  47.805  -0.0053  0.13328   150895  0.005   1.0004  -3.5525   6.499     -0.9106E-02  0.5986    
   0.0551  0.0198  45.018  -0.0052  0.13879   154243  0.005   1.0004  -2.8965   6.499     -0.9035E-02  0.5986    
   0.0602  0.0195  42.513  -0.0052  0.14182   156097  0.005   1.0003  -2.4112   6.499     -0.8893E-02  0.5986    
   0.0654  0.0191  40.257  -0.0052  0.14276   156742  0.005   1.0003  -2.0414   6.499     -0.8708E-02  0.5987    
   0.0705  0.0185  38.221  -0.0052  0.14202   156383  0.006   1.0003  -1.7526   6.499     -0.8496E-02  0.5987    
   0.0756  0.0179  36.378  -0.0052  0.13996   155160  0.006   1.0003  -1.5227   6.499     -0.8270E-02  0.5987    
   0.0807  0.0171  34.705  -0.0053  0.13694   153213  0.006   1.0003  -1.3366   6.499     -0.8039E-02  0.5987    
   0.0859  0.0164  33.183  -0.0053  0.13322   150604  0.006   1.0003  -1.1837   6.499     -0.7809E-02  0.5987    
   0.0910  0.0156  31.795  -0.0053  0.12904   147377  0.006   1.0003  -1.0566   6.499     -0.7585E-02  0.5987    
   0.0961  0.0147  30.523  -0.0053  0.12460   143546  0.006   1.0003  -0.9497   6.499     -0.7369E-02  0.5987    
   0.1013  0.0139  29.356  -0.0053  0.12003   139063  0.007   1.0003  -0.8590   6.499     -0.7160E-02  0.5987    
   0.1064  0.0130  28.281  -0.0053  0.11548   133877  0.007   1.0002  -0.7814   6.499     -0.6960E-02  0.5987    
   0.1115  0.0121  27.290  -0.0053  0.11104   127953  0.007   1.0002  -0.7143   6.499     -0.6770E-02  0.5987    
   0.1167  0.0111  26.373  -0.0053  0.10677   121274  0.007   1.0002  -0.6561   6.499     -0.6595E-02  0.5987    
   0.1218  0.0101  25.523  -0.0053  0.10276   113691  0.007   1.0002  -0.6050   6.499     -0.6438E-02  0.5987    
   0.1269  0.0091  24.733  -0.0053  0.09916   104618  0.008   1.0002  -0.5600   6.499     -0.6279E-02  0.5987    
   0.1320  0.0079  23.994  -0.0053  0.09618    93335  0.008   1.0002  -0.5199   6.499     -0.6095E-02  0.5987    
   0.1372  0.0065  23.303  -0.0053  0.09407    79427  0.008   1.0002  -0.4838   6.499     -0.5893E-02  0.5987    
   0.1423  0.0050  22.663  -0.0053  0.09328    62890  0.008   1.0002  -0.4508   6.499     -0.5789E-02  0.5987    
   0.1474  0.0034  22.075  -0.0054  0.09510    43738  0.008   1.0003  -0.4197   6.499     -0.6708E-02  0.5987    
