 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    0.000   691.0      0.000   72.73       2.872       207.8     692.301    1.3007   0.2308   0.0000   0.00000  0.1704E-01  0.4486E-02   1.4169   0.0000   900.5       0.000       1.1776  0.3634    
    0.250   691.0      0.000   73.29       2.862       207.1     692.300    1.2997   0.2302   0.0885   0.02303  0.1717E-01  0.4471E-02   1.1942   0.0204   899.8       18.32       1.1883  0.3306    
    0.500   691.0      0.000   74.06       2.866       207.4     692.300    1.3001   0.2304   0.1786   0.04607  0.1735E-01  0.4476E-02   1.0147   0.0411   900.1       37.03       1.1995  0.2949    
    0.750   691.0      0.000   75.05       2.888       209.0     692.302    1.3025   0.2318   0.2693   0.06910  0.1758E-01  0.4512E-02   0.8730   0.0624   901.7       56.28       1.2108  0.2579    
    1.000   691.0      0.000   76.25       2.935       212.4     692.307    1.3074   0.2347   0.3590   0.09213  0.1786E-01  0.4585E-02   0.7620   0.0842   905.1       76.25       1.2216  0.2212    
    1.250   691.0      0.000   77.63       3.010       217.8     692.315    1.3152   0.2392   0.4455   0.11516  0.1819E-01  0.4702E-02   0.6750   0.1066   910.5       97.04       1.2316  0.1859    
    1.500   691.0      0.000   79.17       3.116       225.4     692.326    1.3263   0.2455   0.5268   0.13820  0.1855E-01  0.4867E-02   0.6061   0.1293   918.2       118.8       1.2405  0.1532    
    1.750   691.0      0.000   80.83       3.254       235.4     692.341    1.3407   0.2536   0.6008   0.16123  0.1894E-01  0.5082E-02   0.5508   0.1524   928.2       141.5       1.2482  0.1237    
    2.000   691.0      0.000   82.56       3.426       247.9     692.359    1.3587   0.2635   0.6661   0.18426  0.1934E-01  0.5351E-02   0.5058   0.1755   940.7       165.1       1.2545  0.9780E-01
    2.250   691.0      0.000   84.33       3.632       262.8     692.380    1.3803   0.2750   0.7220   0.20729  0.1976E-01  0.5673E-02   0.4685   0.1985   955.7       189.7       1.2594  0.7586E-01
    2.500   691.0      0.000   85.67       3.773       273.0     692.395    1.3951   0.2827   0.7844   0.23033  0.2007E-01  0.5894E-02   0.4351   0.2217   966.0       214.2       1.2550  0.5060E-01
    2.750   691.0      0.000   81.46       3.652       264.2     692.382    1.3824   0.2761   0.8478   0.25336  0.1909E-01  0.5704E-02   0.3823   0.2341   957.1       224.0       1.1658  0.2130E-01
    3.000   691.0      0.000   72.10       3.432       248.3     692.359    1.3594   0.2638   0.8711   0.27639  0.1689E-01  0.5360E-02   0.3152   0.2298   941.2       216.3       1.0116  0.1753E-01
    3.250   691.0      0.000   62.54       3.158       228.5     692.331    1.3307   0.2481   0.8894   0.29942  0.1465E-01  0.4933E-02   0.2556   0.2206   921.3       203.3       0.8596  0.1482E-01
    3.500   691.0      0.000   52.80       2.830       204.8     692.296    1.2963   0.2282   0.9025   0.32246  0.1237E-01  0.4420E-02   0.2023   0.2059   897.4       184.8       0.7104  0.1311E-01
    3.750   691.0      0.000   42.86       2.443       176.8     692.256    1.2559   0.2034   0.9091   0.34549  0.1004E-01  0.3816E-02   0.1546   0.1849   869.4       160.7       0.5644  0.1230E-01
    4.000   691.0      0.000   32.73       1.999       144.6     692.209    1.2093   0.1728   0.9052   0.36852  0.7668E-02  0.3122E-02   0.1114   0.1564   837.1       130.9       0.4221  0.1253E-01
