 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   1.000   637.5      0.000   82.33       3.629       242.3     638.880    1.3801   0.2748   0.3398   0.08811  0.1374E-01  0.3562E-02   0.6641   0.0934   881.7       82.33       1.1109  0.2278    
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0257  0.0149  65.762   1.0122  0.60933    30273  0.001   0.8461   0.3124   1.123       4.326      0.1041    
   0.0316  0.0170  60.580   1.0185  0.58195    40530  0.002   0.8196   0.3368   1.165       4.683      0.1075    
   0.0375  0.0185  55.932   1.0301  0.53830    50877  0.002   0.7947   0.3615   1.206       4.913      0.1109    
   0.0434  0.0194  51.810   1.0430  0.49106    60673  0.002   0.7731   0.3845   1.245       5.018      0.1140    
   0.0493  0.0199  48.169   1.0552  0.44588    69555  0.002   0.7550   0.4050   1.279       5.024      0.1167    
   0.0551  0.0199  44.948   1.0661  0.40476    77403  0.003   0.7401   0.4231   1.310       4.958      0.1191    
   0.0610  0.0197  42.094   1.0757  0.36825    84203  0.003   0.7278   0.4390   1.336       4.845      0.1211    
   0.0669  0.0193  39.560   1.0839  0.33642    89936  0.003   0.7179   0.4526   1.358       4.700      0.1227    
   0.0728  0.0187  37.303   1.0910  0.30883    94661  0.003   0.7100   0.4643   1.377       4.534      0.1241    
   0.0787  0.0180  35.288   1.0969  0.28500    98438  0.004   0.7037   0.4742   1.392       4.358      0.1252    
   0.0846  0.0173  33.482   1.1020  0.26443   101316  0.004   0.6989   0.4824   1.405       4.176      0.1261    
   0.0905  0.0165  31.855   1.1064  0.24660   103369  0.004   0.6952   0.4891   1.415       3.994      0.1267    
   0.0964  0.0157  30.386   1.1101  0.23113   104630  0.004   0.6926   0.4945   1.423       3.813      0.1272    
   0.1023  0.0149  29.055   1.1134  0.21769   105126  0.005   0.6909   0.4987   1.428       3.637      0.1275    
   0.1082  0.0141  27.843   1.1162  0.20596   104867  0.005   0.6900   0.5017   1.432       3.465      0.1277    
   0.1140  0.0132  26.737   1.1186  0.19576   103820  0.005   0.6898   0.5037   1.434       3.298      0.1277    
   0.1199  0.0124  25.723   1.1207  0.18688   101944  0.005   0.6903   0.5047   1.434       3.137      0.1276    
   0.1258  0.0115  24.792   1.1226  0.17915    99215  0.006   0.6914   0.5047   1.434       2.981      0.1274    
   0.1317  0.0106  23.934   1.1243  0.17245    95617  0.006   0.6928   0.5039   1.432       2.834      0.1272    
   0.1376  0.0096  23.142   1.1258  0.16667    91030  0.006   0.6946   0.5023   1.429       2.695      0.1269    
   0.1435  0.0086  22.408   1.1271  0.16196    84968  0.006   0.6970   0.4993   1.425       2.558      0.1264    
   0.1494  0.0075  21.723   1.1282  0.15858    76808  0.007   0.7009   0.4943   1.418       2.416      0.1257    
   0.1553  0.0062  21.085   1.1292  0.15684    66164  0.007   0.7058   0.4866   1.409       2.272      0.1248    
   0.1612  0.0048  20.495   1.1302  0.15692    52995  0.007   0.7083   0.4770   1.405       2.165      0.1244    
   0.1671  0.0033  19.955   1.1321  0.15649    37281  0.008   0.6805   0.4792   1.462       2.383      0.1295    
