 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   4.000   637.5      0.000   17.33       1.271       84.82     638.633    1.1330   0.1172   0.8174   0.35245  0.2892E-02  0.1247E-02   0.0463   0.0958   723.6       69.33       0.1891  0.1584E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0257  0.0149  65.762   0.1989  0.01868    66545  0.003   0.9838   0.7479   4.010      0.3364      0.3582    
   0.0316  0.0170  60.580   0.1395  0.01824    78794  0.003   0.9889   0.7014   4.010      0.2621      0.3564    
   0.0375  0.0185  55.932   0.0991  0.01814    89419  0.003   0.9923   0.6331   4.009      0.1976      0.3552    
   0.0434  0.0194  51.810   0.0755  0.01800    98188  0.003   0.9943   0.5708   4.008      0.1545      0.3545    
   0.0493  0.0199  48.169   0.0649  0.01772   105196  0.003   0.9953   0.5449   4.008      0.1332      0.3541    
   0.0551  0.0199  44.948   0.0635  0.01731   110717  0.004   0.9955   0.5618   4.008      0.1285      0.3540    
   0.0610  0.0197  42.094   0.0683  0.01684   115006  0.004   0.9953   0.6056   4.010      0.1354      0.3541    
   0.0669  0.0193  39.560   0.0779  0.01634   118195  0.004   0.9947   0.6580   4.012      0.1500      0.3543    
   0.0728  0.0187  37.303   0.0907  0.01584   120451  0.004   0.9940   0.7064   4.014      0.1690      0.3546    
   0.0787  0.0180  35.288   0.1057  0.01538   121888  0.004   0.9931   0.7467   4.017      0.1900      0.3549    
   0.0846  0.0173  33.482   0.1221  0.01497   122578  0.005   0.9922   0.7788   4.021      0.2116      0.3552    
   0.0905  0.0165  31.855   0.1392  0.01463   122610  0.005   0.9912   0.8034   4.024      0.2324      0.3556    
   0.0964  0.0157  30.386   0.1567  0.01436   122009  0.005   0.9903   0.8224   4.028      0.2520      0.3559    
   0.1023  0.0149  29.055   0.1741  0.01416   120796  0.005   0.9893   0.8369   4.032      0.2700      0.3563    
   0.1082  0.0141  27.843   0.1914  0.01405   118967  0.006   0.9883   0.8478   4.036      0.2861      0.3566    
   0.1140  0.0132  26.737   0.2083  0.01402   116469  0.006   0.9874   0.8559   4.040      0.3006      0.3570    
   0.1199  0.0124  25.723   0.2247  0.01409   113248  0.006   0.9865   0.8616   4.044      0.3131      0.3573    
   0.1258  0.0115  24.792   0.2406  0.01425   109265  0.006   0.9856   0.8653   4.047      0.3241      0.3576    
   0.1317  0.0106  23.934   0.2560  0.01452   104498  0.007   0.9847   0.8674   4.051      0.3339      0.3579    
   0.1376  0.0096  23.142   0.2708  0.01491    98810  0.007   0.9839   0.8677   4.055      0.3428      0.3582    
   0.1435  0.0086  22.408   0.2850  0.01548    91670  0.007   0.9831   0.8661   4.058      0.3499      0.3585    
   0.1494  0.0075  21.723   0.2986  0.01634    82415  0.007   0.9824   0.8621   4.061      0.3538      0.3588    
   0.1553  0.0062  21.085   0.3116  0.01768    70646  0.008   0.9818   0.8544   4.064      0.3552      0.3590    
   0.1612  0.0048  20.495   0.3242  0.01983    56336  0.008   0.9810   0.8411   4.068      0.3612      0.3593    
   0.1671  0.0033  19.955   0.3310  0.02372    39482  0.008   0.9771   0.8147   4.082      0.4249      0.3607    
