 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   4.500   637.5      0.000  -9.640     -0.2764      -18.45     638.471    0.9711  -0.0298   2.3509   0.39651 -0.1608E-02 -0.2713E-03  -0.0231  -0.0700   620.0      -43.38      -0.0933  0.2516E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0257  0.0149  65.762  -0.0249  0.02530    73634  0.003   1.0021   5.9930   4.499     -0.3926E-01  0.3957    
   0.0316  0.0170  60.580  -0.1135  0.02843    86597  0.003   1.0091   1.7350   4.493     -0.2002      0.3929    
   0.0375  0.0185  55.932  -0.1762  0.03093    97582  0.003   1.0136   1.4553   4.485     -0.3311      0.3912    
   0.0434  0.0194  51.810  -0.2163  0.03247   106400  0.004   1.0161   1.3634   4.479     -0.4180      0.3902    
   0.0493  0.0199  48.169  -0.2385  0.03310   113224  0.004   1.0171   1.3233   4.473     -0.4626      0.3899    
   0.0551  0.0199  44.948  -0.2474  0.03303   118407  0.004   1.0170   1.3055   4.469     -0.4744      0.3899    
   0.0610  0.0197  42.094  -0.2466  0.03245   122268  0.004   1.0163   1.3005   4.467     -0.4627      0.3901    
   0.0669  0.0193  39.560  -0.2383  0.03150   124981  0.004   1.0153   1.3050   4.466     -0.4346      0.3905    
   0.0728  0.0187  37.303  -0.2247  0.03032   126743  0.004   1.0140   1.3180   4.466     -0.3965      0.3910    
   0.0787  0.0180  35.288  -0.2072  0.02903   127688  0.005   1.0126   1.3405   4.467     -0.3530      0.3916    
   0.0846  0.0173  33.482  -0.1870  0.02769   127900  0.005   1.0111   1.3750   4.470     -0.3070      0.3922    
   0.0905  0.0165  31.855  -0.1652  0.02638   127476  0.005   1.0096   1.4266   4.472     -0.2613      0.3927    
   0.0964  0.0157  30.386  -0.1423  0.02513   126446  0.005   1.0081   1.5057   4.476     -0.2169      0.3933    
   0.1023  0.0149  29.055  -0.1190  0.02397   124830  0.006   1.0067   1.6352   4.479     -0.1748      0.3939    
   0.1082  0.0141  27.843  -0.0955  0.02293   122622  0.006   1.0053   1.8744   4.483     -0.1354      0.3944    
   0.1140  0.0132  26.737  -0.0723  0.02202   119770  0.006   1.0040   2.4437   4.487     -0.9892E-01  0.3949    
   0.1199  0.0124  25.723  -0.0494  0.02125   116215  0.006   1.0027   5.3181   4.491     -0.6537E-01  0.3955    
   0.1258  0.0115  24.792  -0.0271  0.02062   111917  0.006   1.0015  -3.3372   4.495     -0.3466E-01  0.3959    
   0.1317  0.0106  23.934  -0.0053  0.02016   106853  0.007   1.0003  -0.4600   4.499     -0.6629E-02  0.3964    
   0.1376  0.0096  23.142   0.0158  0.01987   100881  0.007   0.9992   0.1070   4.503      0.1897E-01  0.3968    
   0.1435  0.0086  22.408   0.0361  0.01983    93462  0.007   0.9981   0.3419   4.507      0.4216E-01  0.3973    
   0.1494  0.0075  21.723   0.0554  0.02018    83920  0.007   0.9971   0.4629   4.511      0.6259E-01  0.3977    
   0.1553  0.0062  21.085   0.0740  0.02109    71853  0.008   0.9962   0.5296   4.515      0.8050E-01  0.3980    
   0.1612  0.0048  20.495   0.0924  0.02292    57238  0.008   0.9952   0.5634   4.518      0.9830E-01  0.3984    
   0.1671  0.0033  19.955   0.1092  0.02668    40076  0.008   0.9933   0.5624   4.526      0.1341      0.3992    
