 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   5.500   637.5      0.000  -51.66      -2.612      -174.4     638.226    0.7264  -0.3762   1.6290   0.48462 -0.8619E-02 -0.2564E-02  -0.1019  -0.6128   463.6      -284.1      -0.4188  0.8591E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0257  0.0149  65.762  -0.3726  0.05047    88087  0.004   1.0322   1.4855   5.484     -0.5234      0.4695    
   0.0316  0.0170  60.580  -0.4288  0.08269   102636  0.004   1.0355   1.6089   5.474     -0.6763      0.4680    
   0.0375  0.0185  55.932  -0.4272  0.08998   114511  0.004   1.0335   1.6073   5.468     -0.7194      0.4689    
   0.0434  0.0194  51.810  -0.4258  0.09623   123586  0.004   1.0315   1.6142   5.462     -0.7398      0.4698    
   0.0493  0.0199  48.169  -0.4249  0.10072   130173  0.004   1.0297   1.6217   5.456     -0.7431      0.4707    
   0.0551  0.0199  44.948  -0.4244  0.10340   134781  0.004   1.0280   1.6268   5.452     -0.7352      0.4714    
   0.0610  0.0197  42.094  -0.4242  0.10443   137856  0.005   1.0265   1.6287   5.448     -0.7203      0.4721    
   0.0669  0.0193  39.560  -0.4242  0.10412   139654  0.005   1.0253   1.6274   5.445     -0.7010      0.4727    
   0.0728  0.0187  37.303  -0.4243  0.10277   140438  0.005   1.0242   1.6234   5.442     -0.6796      0.4732    
   0.0787  0.0180  35.288  -0.4247  0.10069   140389  0.005   1.0232   1.6174   5.439     -0.6572      0.4736    
   0.0846  0.0173  33.482  -0.4251  0.09813   139620  0.005   1.0224   1.6101   5.437     -0.6348      0.4740    
   0.0905  0.0165  31.855  -0.4256  0.09534   138248  0.006   1.0217   1.6025   5.435     -0.6130      0.4743    
   0.0964  0.0157  30.386  -0.4261  0.09245   136311  0.006   1.0212   1.5951   5.433     -0.5920      0.4746    
   0.1023  0.0149  29.055  -0.4266  0.08961   133834  0.006   1.0207   1.5885   5.431     -0.5721      0.4748    
   0.1082  0.0141  27.843  -0.4271  0.08691   130813  0.006   1.0203   1.5835   5.430     -0.5533      0.4750    
   0.1140  0.0132  26.737  -0.4276  0.08444   127191  0.006   1.0200   1.5804   5.428     -0.5356      0.4751    
   0.1199  0.0124  25.723  -0.4281  0.08227   122905  0.007   1.0197   1.5802   5.427     -0.5188      0.4753    
   0.1258  0.0115  24.792  -0.4286  0.08045   117914  0.007   1.0194   1.5832   5.426     -0.5032      0.4754    
   0.1317  0.0106  23.934  -0.4291  0.07904   112191  0.007   1.0192   1.5904   5.425     -0.4890      0.4755    
   0.1376  0.0096  23.142  -0.4295  0.07811   105588  0.007   1.0191   1.6030   5.423     -0.4762      0.4755    
   0.1435  0.0086  22.408  -0.4299  0.07792    97541  0.007   1.0190   1.6248   5.422     -0.4635      0.4756    
   0.1494  0.0075  21.723  -0.4104  0.05489    87352  0.008   1.0179   1.4240   5.425     -0.4281      0.4761    
   0.1553  0.0062  21.085  -0.3825  0.05601    74612  0.008   1.0164   1.4960   5.430     -0.3846      0.4768    
   0.1612  0.0048  20.495  -0.3543  0.05914    59304  0.008   1.0152   1.6217   5.434     -0.3491      0.4774    
   0.1671  0.0033  19.955  -0.3201  0.06567    41437  0.008   1.0163   1.9051   5.429     -0.3651      0.4769    
