 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   6.500   637.5      0.000  -64.20      -2.864      -191.2     638.200    0.7001  -0.4279   2.1824   0.57274 -0.1071E-01 -0.2811E-02  -0.1070  -0.9339   446.8      -417.3      -0.4190  0.1418    
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0257  0.0149  65.762  -0.4271  0.09300   102783  0.005   1.0382   1.9086   6.483     -0.5385      0.5517    
   0.0316  0.0170  60.580  -0.4238  0.11010   119071  0.005   1.0359   1.9427   6.477     -0.6019      0.5529    
   0.0375  0.0185  55.932  -0.4208  0.12720   131997  0.005   1.0336   2.0003   6.471     -0.6422      0.5541    
   0.0434  0.0194  51.810  -0.4184  0.14197   141487  0.005   1.0313   2.0597   6.466     -0.6621      0.5554    
   0.0493  0.0199  48.169  -0.4166  0.15342   147979  0.005   1.0291   2.1123   6.461     -0.6666      0.5566    
   0.0551  0.0199  44.948  -0.4154  0.16141   152130  0.005   1.0271   2.1552   6.457     -0.6607      0.5576    
   0.0610  0.0197  42.094  -0.4146  0.16621   154507  0.005   1.0253   2.1872   6.453     -0.6484      0.5586    
   0.0669  0.0193  39.560  -0.4143  0.16825   155450  0.005   1.0238   2.2081   6.450     -0.6320      0.5594    
   0.0728  0.0187  37.303  -0.4144  0.16805   155294  0.005   1.0225   2.2184   6.447     -0.6135      0.5601    
   0.0787  0.0180  35.288  -0.4147  0.16611   154265  0.006   1.0214   2.2192   6.445     -0.5941      0.5607    
   0.0846  0.0173  33.482  -0.4152  0.16288   152507  0.006   1.0204   2.2120   6.443     -0.5745      0.5613    
   0.0905  0.0165  31.855  -0.4158  0.15879   150164  0.006   1.0196   2.1986   6.441     -0.5554      0.5617    
   0.0964  0.0157  30.386  -0.4165  0.15413   147286  0.006   1.0189   2.1808   6.439     -0.5371      0.5621    
   0.1023  0.0149  29.055  -0.4173  0.14917   143904  0.006   1.0183   2.1600   6.438     -0.5197      0.5624    
   0.1082  0.0141  27.843  -0.4181  0.14412   140018  0.007   1.0178   2.1380   6.436     -0.5033      0.5627    
   0.1140  0.0132  26.737  -0.4190  0.13915   135567  0.007   1.0174   2.1163   6.435     -0.4879      0.5629    
   0.1199  0.0124  25.723  -0.4198  0.13440   130487  0.007   1.0171   2.0964   6.433     -0.4733      0.5631    
   0.1258  0.0115  24.792  -0.4206  0.12998   124736  0.007   1.0167   2.0795   6.432     -0.4596      0.5633    
   0.1317  0.0106  23.934  -0.4214  0.12596   118284  0.007   1.0165   2.0669   6.431     -0.4473      0.5634    
   0.1376  0.0096  23.142  -0.4222  0.12246   110977  0.008   1.0163   2.0604   6.430     -0.4363      0.5635    
   0.1435  0.0086  22.408  -0.4229  0.11977   102225  0.008   1.0162   2.0649   6.429     -0.4253      0.5636    
   0.1494  0.0075  21.723  -0.4236  0.11834    91304  0.008   1.0159   2.0888   6.428     -0.4126      0.5638    
   0.1553  0.0062  21.085  -0.4242  0.11877    77795  0.008   1.0156   2.1460   6.428     -0.3989      0.5639    
   0.1612  0.0048  20.495  -0.4249  0.12210    61692  0.008   1.0156   2.2654   6.426     -0.3920      0.5639    
   0.1671  0.0033  19.955  -0.4256  0.13077    43015  0.009   1.0185   2.5391   6.411     -0.4554      0.5623    
