 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    0.000   637.5      0.000   79.06       3.649       243.6     638.882    1.3821   0.2759   0.0000   0.00000  0.1319E-01  0.3581E-02   1.3035   0.0000   883.0       0.000       1.0736  0.3655    
    0.250   637.5      0.000   79.54       3.617       241.5     638.879    1.3788   0.2741   0.0823   0.02203  0.1327E-01  0.3550E-02   1.0811   0.0226   880.9       19.88       1.0825  0.3342    
    0.500   637.5      0.000   80.23       3.598       240.2     638.877    1.3768   0.2731   0.1670   0.04406  0.1339E-01  0.3531E-02   0.9051   0.0456   879.6       40.11       1.0921  0.2997    
    0.750   637.5      0.000   81.16       3.600       240.3     638.877    1.3770   0.2732   0.2533   0.06609  0.1354E-01  0.3533E-02   0.7688   0.0692   879.7       60.87       1.1017  0.2637    
    1.000   637.5      0.000   82.33       3.629       242.3     638.880    1.3801   0.2748   0.3398   0.08811  0.1374E-01  0.3562E-02   0.6641   0.0934   881.7       82.33       1.1109  0.2278    
    1.250   637.5      0.000   83.70       3.692       246.5     638.887    1.3866   0.2782   0.4245   0.11014  0.1397E-01  0.3624E-02   0.5834   0.1181   885.9       104.6       1.1193  0.1934    
    1.500   637.5      0.000   85.24       3.791       253.1     638.897    1.3970   0.2836   0.5052   0.13217  0.1422E-01  0.3721E-02   0.5204   0.1433   892.5       127.9       1.1267  0.1614    
    1.750   637.5      0.000   86.91       3.929       262.3     638.911    1.4115   0.2909   0.5798   0.15420  0.1450E-01  0.3857E-02   0.4704   0.1687   901.8       152.1       1.1331  0.1325    
    2.000   637.5      0.000   88.67       4.108       274.2     638.930    1.4302   0.3001   0.6466   0.17623  0.1479E-01  0.4032E-02   0.4301   0.1941   913.8       177.3       1.1382  0.1071    
    2.250   637.5      0.000   90.43       4.311       287.8     638.951    1.4514   0.3103   0.7070   0.19826  0.1509E-01  0.4231E-02   0.3969   0.2194   927.4       203.5       1.1416  0.8459E-01
    2.500   637.5      0.000   89.14       4.156       277.5     638.935    1.4353   0.3026   0.8031   0.22028  0.1487E-01  0.4080E-02   0.3576   0.2430   917.0       222.8       1.1008  0.4445E-01
    2.750   637.5      0.000   79.21       3.857       257.5     638.904    1.4039   0.2871   0.8459   0.24231  0.1322E-01  0.3786E-02   0.2938   0.2428   897.0       217.8       0.9568  0.2695E-01
    3.000   637.5      0.000   67.35       3.491       233.1     638.866    1.3656   0.2672   0.8668   0.26434  0.1124E-01  0.3427E-02   0.2322   0.2316   872.4       202.0       0.7980  0.2209E-01
    3.250   637.5      0.000   55.23       3.052       203.8     638.820    1.3196   0.2417   0.8809   0.28637  0.9215E-02  0.2996E-02   0.1777   0.2129   843.0       179.5       0.6413  0.1857E-01
    3.500   637.5      0.000   42.86       2.537       169.3     638.766    1.2656   0.2095   0.8859   0.30840  0.7151E-02  0.2490E-02   0.1292   0.1856   808.4       150.0       0.4872  0.1631E-01
    3.750   637.5      0.000   30.24       1.942       129.7     638.703    1.2034   0.1687   0.8747   0.33043  0.5046E-02  0.1906E-02   0.0857   0.1476   768.6       113.4       0.3363  0.1521E-01
    4.000   637.5      0.000   17.33       1.271       84.82     638.633    1.1330   0.1172   0.8174   0.35245  0.2892E-02  0.1247E-02   0.0463   0.0958   723.6       69.33       0.1891  0.1584E-01
    4.250   637.5      0.000   4.048      0.5298       35.37     638.555    1.0555   0.0525   0.4864   0.37448  0.6754E-03  0.5200E-03   0.0102   0.0255   674.0       17.20       0.0458  0.1913E-01
    4.500   637.5      0.000  -9.640     -0.2764      -18.45     638.471    0.9711  -0.0298   2.3509   0.39651 -0.1608E-02 -0.2713E-03  -0.0231  -0.0700   620.0      -43.38      -0.0933  0.2516E-01
    4.750   637.5      0.000  -23.74      -1.151      -76.81     638.380    0.8795  -0.1368   1.4683   0.41854 -0.3962E-02 -0.1129E-02  -0.0540  -0.2009   561.5      -112.8      -0.2280  0.3360E-01
    5.000   637.5      0.000  -36.85      -1.895      -126.5     638.302    0.8016  -0.2472   1.4568   0.44057 -0.6149E-02 -0.1860E-02  -0.0798  -0.3602   511.7      -184.3      -0.3340  0.5181E-01
    5.250   637.5      0.000  -45.77      -2.362      -157.7     638.253    0.7526  -0.3283   1.5238   0.46260 -0.7637E-02 -0.2319E-02  -0.0945  -0.5002   480.4      -240.3      -0.3920  0.6919E-01
    5.500   637.5      0.000  -51.66      -2.612      -174.4     638.226    0.7264  -0.3762   1.6290   0.48462 -0.8619E-02 -0.2564E-02  -0.1019  -0.6128   463.6      -284.1      -0.4188  0.8591E-01
    5.750   637.5      0.000  -55.27      -2.709      -180.9     638.216    0.7163  -0.3957   1.7572   0.50665 -0.9223E-02 -0.2659E-02  -0.1042  -0.6952   457.1      -317.8      -0.4252  0.1010    
    6.000   637.5      0.000  -57.99      -2.766      -184.7     638.210    0.7103  -0.4074   1.8841   0.52868 -0.9676E-02 -0.2715E-02  -0.1048  -0.7676   453.3      -348.0      -0.4233  0.1142    
    6.250   637.5      0.000  -60.95      -2.821      -188.3     638.205    0.7046  -0.4188   2.0228   0.55071 -0.1017E-01 -0.2769E-02  -0.1057  -0.8471   449.7      -380.9      -0.4211  0.1276    
    6.500   637.5      0.000  -64.20      -2.864      -191.2     638.200    0.7001  -0.4279   2.1824   0.57274 -0.1071E-01 -0.2811E-02  -0.1070  -0.9339   446.8      -417.3      -0.4190  0.1418    
    6.750   637.5      0.000  -67.74      -2.897      -193.4     638.197    0.6966  -0.4350   2.3644   0.59477 -0.1130E-01 -0.2843E-02  -0.1087  -1.0285   444.6      -457.3      -0.4167  0.1564    
    7.000   637.5      0.000  -71.59      -2.920      -195.0     638.194    0.6942  -0.4401   2.5704   0.61679 -0.1195E-01 -0.2866E-02  -0.1108  -1.1312   443.0      -501.1      -0.4145  0.1715    

