 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   1.000   900.0      0.000   161.6       7.076       666.9     901.741    1.7410   0.4248   0.2423   0.06241  0.1353E-01  0.3485E-02   1.1147   0.1029   1570.       161.6       1.1001  0.2644    
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0257  0.0149  65.762   0.9385  0.83033    39902  0.002   0.7921   0.1998   1.206       5.097      0.7880E-01
   0.0316  0.0170  60.580   0.9582  0.76619    54467  0.002   0.7509   0.2304   1.276       5.532      0.8311E-01
   0.0375  0.0185  55.932   0.9813  0.69137    69216  0.002   0.7147   0.2595   1.345       5.804      0.8733E-01
   0.0434  0.0194  51.810   1.0032  0.61893    83224  0.003   0.6845   0.2859   1.409       5.920      0.9118E-01
   0.0493  0.0199  48.169   1.0224  0.55363    95960  0.003   0.6602   0.3096   1.465       5.914      0.9453E-01
   0.0551  0.0199  44.948   1.0388  0.49642   107236  0.004   0.6407   0.3305   1.514       5.823      0.9741E-01
   0.0610  0.0197  42.094   1.0526  0.44696   117024  0.004   0.6252   0.3490   1.557       5.678      0.9984E-01
   0.0669  0.0193  39.560   1.0642  0.40464   125294  0.004   0.6128   0.3651   1.592       5.496      0.1018    
   0.0728  0.0187  37.303   1.0739  0.36846   132130  0.005   0.6031   0.3789   1.622       5.292      0.1035    
   0.0787  0.0180  35.288   1.0820  0.33755   137614  0.005   0.5956   0.3908   1.646       5.077      0.1048    
   0.0846  0.0173  33.482   1.0889  0.31109   141814  0.005   0.5898   0.4008   1.665       4.856      0.1058    
   0.0905  0.0165  31.855   1.0947  0.28831   144837  0.006   0.5855   0.4092   1.681       4.637      0.1066    
   0.0964  0.0157  30.386   1.0997  0.26865   146730  0.006   0.5825   0.4160   1.692       4.420      0.1071    
   0.1023  0.0149  29.055   1.1039  0.25164   147533  0.007   0.5807   0.4215   1.700       4.207      0.1075    
   0.1082  0.0141  27.843   1.1076  0.23686   147262  0.007   0.5798   0.4257   1.705       4.001      0.1076    
   0.1140  0.0132  26.737   1.1107  0.22402   145870  0.007   0.5799   0.4287   1.706       3.800      0.1076    
   0.1199  0.0124  25.723   1.1135  0.21285   143301  0.008   0.5808   0.4305   1.705       3.605      0.1075    
   0.1258  0.0115  24.792   1.1159  0.20311   139520  0.008   0.5826   0.4313   1.702       3.416      0.1071    
   0.1317  0.0106  23.934   1.1180  0.19463   134508  0.008   0.5850   0.4311   1.696       3.235      0.1067    
   0.1376  0.0096  23.142   1.1199  0.18726   128096  0.009   0.5878   0.4300   1.689       3.064      0.1062    
   0.1435  0.0086  22.408   1.1215  0.18109   119599  0.009   0.5917   0.4275   1.680       2.895      0.1055    
   0.1494  0.0075  21.723   1.1229  0.17634   108140  0.010   0.5972   0.4229   1.665       2.720      0.1045    
   0.1553  0.0062  21.085   1.1242  0.17321    93175  0.010   0.6042   0.4160   1.647       2.544      0.1033    
   0.1612  0.0048  20.495   1.1254  0.17164    74644  0.010   0.6086   0.4081   1.636       2.407      0.1025    
   0.1671  0.0033  19.955   1.1277  0.16835    52519  0.011   0.5803   0.4161   1.715       2.612      0.1076    
