 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   3.000   900.0      0.000   178.8       8.296       781.9     901.869    1.8687   0.4639   0.6862   0.18724  0.1497E-01  0.4085E-02   0.5838   0.3183   1685.       536.5       1.1404  0.9041E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0257  0.0149  65.762   1.1340  0.13666    58878  0.003   0.9027   0.7673   3.112       2.830      0.2074    
   0.0316  0.0170  60.580   1.1326  0.13886    73540  0.003   0.8981   0.7775   3.151       3.072      0.2085    
   0.0375  0.0185  55.932   1.1324  0.13701    87692  0.003   0.8932   0.7850   3.188       3.215      0.2096    
   0.0434  0.0194  51.810   1.1327  0.13294   100653  0.003   0.8887   0.7907   3.223       3.275      0.2107    
   0.0493  0.0199  48.169   1.1335  0.12778   112106  0.004   0.8848   0.7950   3.255       3.273      0.2116    
   0.0551  0.0199  44.948   1.1344  0.12212   122025  0.004   0.8813   0.7983   3.283       3.228      0.2125    
   0.0610  0.0197  42.094   1.1353  0.11639   130475  0.004   0.8784   0.8009   3.307       3.156      0.2132    
   0.0669  0.0193  39.560   1.1363  0.11092   137469  0.005   0.8759   0.8027   3.328       3.066      0.2138    
   0.0728  0.0187  37.303   1.1372  0.10584   143116  0.005   0.8738   0.8039   3.346       2.965      0.2143    
   0.0787  0.0180  35.288   1.1380  0.10121   147507  0.005   0.8721   0.8045   3.362       2.859      0.2147    
   0.0846  0.0173  33.482   1.1388  0.09707   150710  0.006   0.8707   0.8045   3.375       2.751      0.2150    
   0.0905  0.0165  31.855   1.1394  0.09334   152831  0.006   0.8696   0.8040   3.386       2.643      0.2153    
   0.0964  0.0157  30.386   1.1400  0.09004   153905  0.006   0.8688   0.8031   3.396       2.538      0.2155    
   0.1023  0.0149  29.055   1.1406  0.08711   153966  0.007   0.8681   0.8018   3.404       2.436      0.2157    
   0.1082  0.0141  27.843   1.1410  0.08455   153020  0.007   0.8676   0.8001   3.411       2.339      0.2158    
   0.1140  0.0132  26.737   1.1415  0.08232   151010  0.008   0.8673   0.7980   3.416       2.245      0.2159    
   0.1199  0.0124  25.723   1.1418  0.08042   147873  0.008   0.8671   0.7954   3.420       2.154      0.2159    
   0.1258  0.0115  24.792   1.1422  0.07883   143568  0.008   0.8671   0.7924   3.424       2.069      0.2160    
   0.1317  0.0106  23.934   1.1425  0.07755   138070  0.009   0.8670   0.7890   3.427       1.989      0.2160    
   0.1376  0.0096  23.142   1.1428  0.07658   131203  0.009   0.8669   0.7850   3.430       1.916      0.2160    
   0.1435  0.0086  22.408   1.1430  0.07607   122265  0.009   0.8671   0.7801   3.432       1.843      0.2159    
   0.1494  0.0075  21.723   1.1433  0.07628   110362  0.010   0.8679   0.7734   3.431       1.766      0.2157    
   0.1553  0.0062  21.085   1.1434  0.07754    94944  0.010   0.8692   0.7642   3.427       1.685      0.2154    
   0.1612  0.0048  20.495   1.1436  0.08023    75958  0.010   0.8690   0.7519   3.430       1.632      0.2155    
   0.1671  0.0033  19.955   1.1442  0.08382    53384  0.011   0.8500   0.7413   3.504       1.847      0.2203    
