 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   5.000   900.0      0.000   81.52       4.818       454.1     901.505    1.5045   0.3348   0.8977   0.31207  0.6825E-02  0.2373E-02   0.1722   0.3005   1356.       407.6       0.4618  0.1351E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0257  0.0149  65.762   0.4444  0.01684    84937  0.004   0.9643   0.9029   5.033      0.8068      0.3236    
   0.0316  0.0170  60.580   0.4129  0.01518   101391  0.004   0.9674   0.9167   5.042      0.8283      0.3226    
   0.0375  0.0185  55.932   0.3921  0.01407   116012  0.004   0.9695   0.9249   5.050      0.8317      0.3219    
   0.0434  0.0194  51.810   0.3816  0.01333   128404  0.004   0.9708   0.9302   5.058      0.8286      0.3214    
   0.0493  0.0199  48.169   0.3788  0.01282   138595  0.005   0.9715   0.9340   5.066      0.8237      0.3212    
   0.0551  0.0199  44.948   0.3810  0.01246   146866  0.005   0.9718   0.9367   5.073      0.8177      0.3211    
   0.0610  0.0197  42.094   0.3862  0.01221   153498  0.005   0.9719   0.9386   5.080      0.8109      0.3211    
   0.0669  0.0193  39.560   0.3938  0.01204   158627  0.005   0.9717   0.9398   5.087      0.8035      0.3212    
   0.0728  0.0187  37.303   0.4028  0.01194   162449  0.006   0.9714   0.9406   5.094      0.7954      0.3213    
   0.0787  0.0180  35.288   0.4128  0.01190   165102  0.006   0.9710   0.9409   5.101      0.7868      0.3214    
   0.0846  0.0173  33.482   0.4233  0.01190   166675  0.006   0.9705   0.9409   5.107      0.7776      0.3216    
   0.0905  0.0165  31.855   0.4339  0.01193   167286  0.007   0.9700   0.9406   5.113      0.7678      0.3217    
   0.0964  0.0157  30.386   0.4444  0.01201   166968  0.007   0.9694   0.9399   5.119      0.7575      0.3219    
   0.1023  0.0149  29.055   0.4548  0.01212   165749  0.007   0.9689   0.9390   5.125      0.7469      0.3221    
   0.1082  0.0141  27.843   0.4650  0.01227   163626  0.008   0.9683   0.9378   5.130      0.7359      0.3223    
   0.1140  0.0132  26.737   0.4748  0.01246   160528  0.008   0.9678   0.9363   5.135      0.7247      0.3225    
   0.1199  0.0124  25.723   0.4843  0.01270   156382  0.008   0.9673   0.9344   5.140      0.7133      0.3226    
   0.1258  0.0115  24.792   0.4934  0.01299   151136  0.009   0.9668   0.9322   5.144      0.7018      0.3228    
   0.1317  0.0106  23.934   0.5021  0.01335   144761  0.009   0.9662   0.9296   5.149      0.6909      0.3230    
   0.1376  0.0096  23.142   0.5104  0.01380   137066  0.009   0.9657   0.9265   5.153      0.6809      0.3232    
   0.1435  0.0086  22.408   0.5183  0.01440   127317  0.010   0.9652   0.9225   5.157      0.6699      0.3233    
   0.1494  0.0075  21.723   0.5260  0.01526   114590  0.010   0.9648   0.9171   5.160      0.6556      0.3234    
   0.1553  0.0062  21.085   0.5336  0.01657    98325  0.010   0.9647   0.9093   5.163      0.6389      0.3235    
   0.1612  0.0048  20.495   0.5405  0.01864    78479  0.011   0.9641   0.8976   5.167      0.6317      0.3237    
   0.1671  0.0033  19.955   0.5374  0.02220    55045  0.011   0.9580   0.8770   5.198      0.7219      0.3258    
