 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   6.000   900.0      0.000   8.470      0.9970       93.97     901.104    1.1044   0.0944   0.5408   0.37448  0.7091E-03  0.4910E-03   0.0151   0.0511   995.2       50.82       0.0458  0.1610E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0257  0.0149  65.762   0.0820  0.01774    98930  0.004   0.9933   0.4235   6.006      0.1338      0.3770    
   0.0316  0.0170  60.580   0.0077  0.01877   116715  0.005   0.9994  -1.7719   6.001      0.1404E-01  0.3747    
   0.0375  0.0185  55.932  -0.0438  0.01969   131958  0.005   1.0034   2.3963   5.995     -0.8477E-01  0.3732    
   0.0434  0.0194  51.810  -0.0755  0.02020   144363  0.005   1.0056   1.7026   5.989     -0.1500      0.3724    
   0.0493  0.0199  48.169  -0.0916  0.02027   154118  0.005   1.0066   1.5517   5.985     -0.1825      0.3720    
   0.0551  0.0199  44.948  -0.0964  0.02001   161668  0.005   1.0067   1.5116   5.983     -0.1898      0.3720    
   0.0610  0.0197  42.094  -0.0932  0.01952   167417  0.006   1.0063   1.5254   5.982     -0.1795      0.3721    
   0.0669  0.0193  39.560  -0.0839  0.01888   171582  0.006   1.0055   1.5916   5.983     -0.1570      0.3724    
   0.0728  0.0187  37.303  -0.0703  0.01816   174418  0.006   1.0045   1.7419   5.985     -0.1273      0.3728    
   0.0787  0.0180  35.288  -0.0537  0.01742   176100  0.006   1.0034   2.1105   5.988     -0.9392E-01  0.3732    
   0.0846  0.0173  33.482  -0.0351  0.01670   176739  0.007   1.0021   3.7087   5.992     -0.5910E-01  0.3737    
   0.0905  0.0165  31.855  -0.0153  0.01602   176465  0.007   1.0009  -3.5577   5.996     -0.2485E-01  0.3741    
   0.0964  0.0157  30.386   0.0051  0.01540   175318  0.007   0.9997  -0.1785   6.001      0.7989E-02  0.3746    
   0.1023  0.0149  29.055   0.0258  0.01486   173324  0.008   0.9985   0.3327   6.007      0.3884E-01  0.3750    
   0.1082  0.0141  27.843   0.0463  0.01440   170478  0.008   0.9973   0.5347   6.012      0.6733E-01  0.3755    
   0.1140  0.0132  26.737   0.0666  0.01403   166706  0.008   0.9962   0.6408   6.018      0.9345E-01  0.3759    
   0.1199  0.0124  25.723   0.0864  0.01376   161926  0.009   0.9951   0.7046   6.023      0.1171      0.3763    
   0.1258  0.0115  24.792   0.1056  0.01359   156086  0.009   0.9940   0.7459   6.029      0.1385      0.3767    
   0.1317  0.0106  23.934   0.1243  0.01353   149150  0.009   0.9930   0.7740   6.034      0.1579      0.3771    
   0.1376  0.0096  23.142   0.1424  0.01359   140923  0.010   0.9920   0.7932   6.040      0.1756      0.3775    
   0.1435  0.0086  22.408   0.1597  0.01382   130650  0.010   0.9911   0.8055   6.045      0.1911      0.3779    
   0.1494  0.0075  21.723   0.1763  0.01434   117387  0.010   0.9902   0.8116   6.050      0.2037      0.3782    
   0.1553  0.0062  21.085   0.1922  0.01527   100567  0.011   0.9895   0.8115   6.055      0.2138      0.3785    
   0.1612  0.0048  20.495   0.2077  0.01691    80154  0.011   0.9886   0.8037   6.060      0.2260      0.3788    
   0.1671  0.0033  19.955   0.2196  0.02006    56148  0.011   0.9857   0.7803   6.076      0.2756      0.3799    
