 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   6.500   900.0      0.000  -30.15      -1.347      -126.9     900.859    0.8590  -0.1640   1.5440   0.40569 -0.2524E-02 -0.6633E-03  -0.0500  -0.2533   773.8      -196.0      -0.1499  0.2391E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0257  0.0149  65.762  -0.0667  0.02311   106058  0.005   1.0055   2.2119   6.496     -0.1039      0.4035    
   0.0316  0.0170  60.580  -0.1612  0.02644   124579  0.005   1.0130   1.4651   6.485     -0.2808      0.4005    
   0.0375  0.0185  55.932  -0.2285  0.02908   140204  0.005   1.0177   1.3233   6.473     -0.4244      0.3986    
   0.0434  0.0194  51.810  -0.2722  0.03076   152677  0.005   1.0203   1.2681   6.462     -0.5201      0.3976    
   0.0493  0.0199  48.169  -0.2970  0.03154   162264  0.005   1.0212   1.2418   6.453     -0.5701      0.3973    
   0.0551  0.0199  44.948  -0.3078  0.03161   169488  0.006   1.0211   1.2288   6.446     -0.5840      0.3973    
   0.0610  0.0197  42.094  -0.3082  0.03115   174818  0.006   1.0203   1.2236   6.442     -0.5723      0.3976    
   0.0669  0.0193  39.560  -0.3006  0.03031   178510  0.006   1.0191   1.2240   6.440     -0.5424      0.3981    
   0.0728  0.0187  37.303  -0.2871  0.02923   180852  0.006   1.0177   1.2292   6.439     -0.5015      0.3986    
   0.0787  0.0180  35.288  -0.2695  0.02800   182040  0.007   1.0161   1.2389   6.441     -0.4543      0.3992    
   0.0846  0.0173  33.482  -0.2488  0.02671   182197  0.007   1.0145   1.2538   6.443     -0.4042      0.3999    
   0.0905  0.0165  31.855  -0.2262  0.02543   181463  0.007   1.0129   1.2751   6.447     -0.3542      0.4005    
   0.0964  0.0157  30.386  -0.2025  0.02419   179879  0.008   1.0114   1.3049   6.451     -0.3055      0.4011    
   0.1023  0.0149  29.055  -0.1782  0.02303   177474  0.008   1.0098   1.3471   6.456     -0.2591      0.4017    
   0.1082  0.0141  27.843  -0.1536  0.02197   174243  0.008   1.0084   1.4091   6.462     -0.2156      0.4023    
   0.1140  0.0132  26.737  -0.1292  0.02102   170108  0.008   1.0069   1.5055   6.467     -0.1751      0.4029    
   0.1199  0.0124  25.723  -0.1052  0.02021   164987  0.009   1.0056   1.6710   6.473     -0.1378      0.4034    
   0.1258  0.0115  24.792  -0.0817  0.01953   158824  0.009   1.0043   2.0111   6.479     -0.1035      0.4040    
   0.1317  0.0106  23.934  -0.0587  0.01899   151582  0.009   1.0031   3.0702   6.484     -0.7210E-01  0.4044    
   0.1376  0.0096  23.142  -0.0364  0.01861   143064  0.010   1.0019 -58.2251   6.490     -0.4343E-01  0.4049    
   0.1435  0.0086  22.408  -0.0149  0.01847   132503  0.010   1.0008  -1.0115   6.496     -0.1728E-01  0.4054    
   0.1494  0.0075  21.723   0.0056  0.01868   118943  0.010   0.9997  -0.0668   6.502      0.6224E-02  0.4058    
   0.1553  0.0062  21.085   0.0253  0.01940   101816  0.011   0.9987   0.2413   6.507      0.2721E-01  0.4062    
   0.1612  0.0048  20.495   0.0448  0.02094    81088  0.011   0.9977   0.3823   6.513      0.4719E-01  0.4066    
   0.1671  0.0033  19.955   0.0635  0.02418    56763  0.012   0.9962   0.4390   6.521      0.7735E-01  0.4072    
