 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    0.000   900.0      0.000   157.7       7.180       676.7     901.752    1.7519   0.4284   0.0000   0.00000  0.1320E-01  0.3536E-02   1.8407   0.0000   1580.       0.000       1.0736  0.3604    
    0.250   900.0      0.000   158.3       7.133       672.2     901.747    1.7469   0.4267   0.0589   0.01560  0.1325E-01  0.3512E-02   1.6113   0.0251   1575.       39.58       1.0798  0.3385    
    0.500   900.0      0.000   159.2       7.096       668.7     901.743    1.7430   0.4255   0.1190   0.03121  0.1332E-01  0.3494E-02   1.4158   0.0506   1572.       79.58       1.0865  0.3148    
    0.750   900.0      0.000   160.2       7.075       666.8     901.741    1.7409   0.4248   0.1802   0.04681  0.1341E-01  0.3484E-02   1.2515   0.0766   1570.       120.2       1.0933  0.2899    
    1.000   900.0      0.000   161.6       7.076       666.9     901.741    1.7410   0.4248   0.2423   0.06241  0.1353E-01  0.3485E-02   1.1147   0.1029   1570.       161.6       1.1001  0.2644    
    1.250   900.0      0.000   163.1       7.104       669.5     901.744    1.7439   0.4257   0.3046   0.07802  0.1366E-01  0.3498E-02   1.0013   0.1297   1573.       203.9       1.1067  0.2388    
    1.500   900.0      0.000   164.9       7.162       675.0     901.750    1.7500   0.4277   0.3665   0.09362  0.1381E-01  0.3527E-02   0.9071   0.1568   1578.       247.4       1.1130  0.2137    
    1.750   900.0      0.000   166.9       7.254       683.7     901.760    1.7597   0.4309   0.4272   0.10922  0.1397E-01  0.3573E-02   0.8287   0.1841   1587.       292.1       1.1189  0.1894    
    2.000   900.0      0.000   169.1       7.384       695.9     901.773    1.7732   0.4352   0.4859   0.12483  0.1415E-01  0.3636E-02   0.7629   0.2115   1599.       338.1       1.1244  0.1663    
    2.250   900.0      0.000   171.4       7.551       711.7     901.791    1.7908   0.4407   0.5418   0.14043  0.1435E-01  0.3719E-02   0.7073   0.2388   1615.       385.6       1.1292  0.1447    
    2.500   900.0      0.000   173.8       7.759       731.2     901.812    1.8125   0.4474   0.5942   0.15603  0.1455E-01  0.3821E-02   0.6599   0.2658   1635.       434.5       1.1335  0.1248    
    2.750   900.0      0.000   176.3       8.007       754.6     901.838    1.8385   0.4551   0.6425   0.17164  0.1476E-01  0.3943E-02   0.6191   0.2924   1658.       484.8       1.1372  0.1066    
    3.000   900.0      0.000   178.8       8.296       781.9     901.869    1.8687   0.4639   0.6862   0.18724  0.1497E-01  0.4085E-02   0.5838   0.3183   1685.       536.5       1.1404  0.9041E-01
    3.250   900.0      0.000   181.3       8.500       801.1     901.890    1.8901   0.4700   0.7353   0.20284  0.1517E-01  0.4186E-02   0.5523   0.3456   1705.       589.1       1.1410  0.7209E-01
    3.500   900.0      0.000   178.8       8.251       777.6     901.864    1.8640   0.4626   0.8048   0.21845  0.1497E-01  0.4063E-02   0.5116   0.3723   1681.       625.8       1.1083  0.4363E-01
    3.750   900.0      0.000   167.0       7.840       738.9     901.821    1.8210   0.4499   0.8473   0.23405  0.1398E-01  0.3861E-02   0.4513   0.3812   1642.       626.1       1.0167  0.2452E-01
    4.000   900.0      0.000   150.4       7.386       696.1     901.773    1.7734   0.4353   0.8641   0.24965  0.1259E-01  0.3637E-02   0.3854   0.3761   1599.       601.5       0.9037  0.2119E-01
    4.250   900.0      0.000   133.5       6.858       646.4     901.718    1.7182   0.4172   0.8780   0.26526  0.1118E-01  0.3377E-02   0.3252   0.3663   1549.       567.5       0.7915  0.1845E-01
    4.500   900.0      0.000   116.4       6.256       589.6     901.655    1.6551   0.3951   0.8887   0.28086  0.9748E-02  0.3081E-02   0.2699   0.3511   1492.       524.0       0.6803  0.1627E-01
    4.750   900.0      0.000   99.10       5.576       525.6     901.584    1.5840   0.3680   0.8957   0.29647  0.8297E-02  0.2746E-02   0.2191   0.3296   1428.       470.7       0.5703  0.1463E-01
    5.000   900.0      0.000   81.52       4.818       454.1     901.505    1.5045   0.3348   0.8977   0.31207  0.6825E-02  0.2373E-02   0.1722   0.3005   1356.       407.6       0.4618  0.1351E-01
    5.250   900.0      0.000   63.71       3.979       375.0     901.417    1.4166   0.2936   0.8920   0.32767  0.5334E-02  0.1959E-02   0.1288   0.2619   1277.       334.5       0.3550  0.1286E-01
    5.500   900.0      0.000   45.63       3.059       288.3     901.320    1.3203   0.2423   0.8705   0.34328  0.3820E-02  0.1506E-02   0.0884   0.2109   1190.       251.0       0.2500  0.1287E-01
    5.750   900.0      0.000   27.23       2.063       194.5     901.216    1.2161   0.1774   0.8050   0.35888  0.2279E-02  0.1016E-02   0.0507   0.1428   1096.       156.6       0.1469  0.1389E-01
    6.000   900.0      0.000   8.470      0.9970       93.97     901.104    1.1044   0.0944   0.5408   0.37448  0.7091E-03  0.4910E-03   0.0151   0.0511   995.2       50.82       0.0458  0.1610E-01
    6.250   900.0      0.000  -10.65     -0.1391      -13.11     900.985    0.9854  -0.0148   5.0803   0.39009 -0.8920E-03 -0.6849E-04  -0.0183  -0.0750   887.9      -66.59      -0.0531  0.1947E-01
    6.500   900.0      0.000  -30.15      -1.347      -126.9     900.859    0.8590  -0.1640   1.5440   0.40569 -0.2524E-02 -0.6633E-03  -0.0500  -0.2533   773.8      -196.0      -0.1499  0.2391E-01
    6.750   900.0      0.000  -50.03      -2.628      -247.7     900.725    0.7248  -0.3794   1.3634   0.42129 -0.4189E-02 -0.1294E-02  -0.0801  -0.5173   652.8      -337.7      -0.2446  0.2930E-01
    7.000   900.0      0.000  -68.80      -3.703      -349.0     900.612    0.6122  -0.6331   1.3797   0.43690 -0.5760E-02 -0.1824E-02  -0.1064  -0.8735   551.3      -481.6      -0.3205  0.4255E-01

