 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   3.000   763.2      0.000   127.6       5.917       472.8     764.770    1.6196   0.3818   0.8098   0.22082  0.1486E-01  0.4052E-02   0.4268   0.3091   1239.       382.9       1.0984  0.4141E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0257  0.0149  65.762   1.1438  0.08578    55532  0.002   0.9076   0.8401   3.085       2.542      0.2433    
   0.0316  0.0170  60.580   1.1433  0.08426    68240  0.003   0.9055   0.8552   3.115       2.773      0.2439    
   0.0375  0.0185  55.932   1.1432  0.08212    80239  0.003   0.9033   0.8643   3.144       2.909      0.2445    
   0.0434  0.0194  51.810   1.1432  0.07978    91027  0.003   0.9012   0.8698   3.171       2.965      0.2450    
   0.0493  0.0199  48.169   1.1433  0.07742   100413  0.003   0.8994   0.8729   3.195       2.964      0.2455    
   0.0551  0.0199  44.948   1.1435  0.07505   108436  0.004   0.8979   0.8745   3.217       2.923      0.2459    
   0.0610  0.0197  42.094   1.1437  0.07272   115197  0.004   0.8965   0.8753   3.235       2.858      0.2463    
   0.0669  0.0193  39.560   1.1439  0.07055   120726  0.004   0.8954   0.8752   3.252       2.777      0.2466    
   0.0728  0.0187  37.303   1.1442  0.06856   125131  0.004   0.8944   0.8746   3.266       2.686      0.2469    
   0.0787  0.0180  35.288   1.1444  0.06677   128496  0.005   0.8936   0.8734   3.278       2.592      0.2471    
   0.0846  0.0173  33.482   1.1446  0.06519   130881  0.005   0.8929   0.8718   3.288       2.496      0.2473    
   0.0905  0.0165  31.855   1.1412  0.02825   132377  0.005   0.8927   0.9385   3.297       2.394      0.2474    
   0.0964  0.0157  30.386   1.1294  0.02777   133013  0.006   0.8932   0.9365   3.301       2.280      0.2472    
   0.1023  0.0149  29.055   1.1181  0.02740   132813  0.006   0.8938   0.9342   3.305       2.171      0.2471    
   0.1082  0.0141  27.843   1.1075  0.02715   131782  0.006   0.8944   0.9316   3.308       2.069      0.2469    
   0.1140  0.0132  26.737   1.0974  0.02700   129866  0.006   0.8950   0.9288   3.310       1.973      0.2467    
   0.1199  0.0124  25.723   1.0880  0.02698   127012  0.007   0.8957   0.9256   3.311       1.882      0.2465    
   0.1258  0.0115  24.792   1.0790  0.02709   123180  0.007   0.8964   0.9221   3.312       1.797      0.2463    
   0.1317  0.0106  23.934   1.0705  0.02735   118349  0.007   0.8970   0.9181   3.313       1.719      0.2462    
   0.1376  0.0096  23.142   1.0623  0.02778   112368  0.008   0.8975   0.9135   3.314       1.648      0.2460    
   0.1435  0.0086  22.408   1.0547  0.02851   104634  0.008   0.8982   0.9079   3.314       1.579      0.2459    
   0.1494  0.0075  21.723   1.0481  0.02977    94384  0.008   0.8992   0.9005   3.312       1.507      0.2456    
   0.1553  0.0062  21.085   1.0423  0.03188    81149  0.009   0.9007   0.8904   3.309       1.434      0.2452    
   0.1612  0.0048  20.495   1.0354  0.03534    64886  0.009   0.9009   0.8756   3.309       1.384      0.2451    
   0.1671  0.0033  19.955   1.0078  0.04073    45583  0.009   0.8881   0.8535   3.355       1.535      0.2486    
