 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   4.000   816.5      0.000   100.9       5.350       457.5     818.060    1.5603   0.3584   0.8824   0.27519  0.1026E-01  0.3201E-02   0.2625   0.3162   1276.       403.7       0.7206  0.1785E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0257  0.0149  65.762   0.7117  0.02317    69758  0.003   0.9433   0.9216   4.051       1.390      0.2917    
   0.0316  0.0170  60.580   0.7052  0.02096    84073  0.003   0.9440   0.9356   4.069       1.514      0.2915    
   0.0375  0.0185  55.932   0.6999  0.01939    97101  0.003   0.9446   0.9436   4.085       1.583      0.2913    
   0.0434  0.0194  51.810   0.6977  0.01831   108416  0.004   0.9450   0.9482   4.101       1.613      0.2912    
   0.0493  0.0199  48.169   0.6981  0.01756   117954  0.004   0.9452   0.9509   4.115       1.614      0.2911    
   0.0551  0.0199  44.948   0.6995  0.01703   125881  0.004   0.9453   0.9523   4.128       1.597      0.2911    
   0.0610  0.0197  42.094   0.7014  0.01663   132388  0.004   0.9453   0.9529   4.140       1.566      0.2911    
   0.0669  0.0193  39.560   0.7036  0.01636   137561  0.005   0.9453   0.9529   4.150       1.527      0.2911    
   0.0728  0.0187  37.303   0.7061  0.01617   141546  0.005   0.9453   0.9524   4.158       1.483      0.2911    
   0.0787  0.0180  35.288   0.7088  0.01605   144455  0.005   0.9452   0.9515   4.166       1.437      0.2911    
   0.0846  0.0173  33.482   0.7116  0.01599   146358  0.006   0.9451   0.9503   4.173       1.390      0.2912    
   0.0905  0.0165  31.855   0.7142  0.01598   147357  0.006   0.9450   0.9489   4.179       1.344      0.2912    
   0.0964  0.0157  30.386   0.7169  0.01602   147483  0.006   0.9449   0.9473   4.185       1.299      0.2912    
   0.1023  0.0149  29.055   0.7194  0.01611   146760  0.006   0.9447   0.9454   4.190       1.255      0.2913    
   0.1082  0.0141  27.843   0.7219  0.01623   145188  0.007   0.9446   0.9434   4.194       1.213      0.2913    
   0.1140  0.0132  26.737   0.7242  0.01642   142706  0.007   0.9445   0.9410   4.198       1.173      0.2914    
   0.1199  0.0124  25.723   0.7265  0.01666   139251  0.007   0.9443   0.9384   4.201       1.134      0.2914    
   0.1258  0.0115  24.792   0.7287  0.01697   134779  0.008   0.9442   0.9355   4.205       1.098      0.2914    
   0.1317  0.0106  23.934   0.7307  0.01737   129263  0.008   0.9441   0.9322   4.208       1.064      0.2915    
   0.1376  0.0096  23.142   0.7325  0.01788   122536  0.008   0.9438   0.9283   4.211       1.033      0.2916    
   0.1435  0.0086  22.408   0.7344  0.01858   113940  0.009   0.9437   0.9236   4.213       1.002      0.2916    
   0.1494  0.0075  21.723   0.7364  0.01962   102648  0.009   0.9438   0.9175   4.214      0.9672      0.2916    
   0.1553  0.0062  21.085   0.7387  0.02122    88154  0.009   0.9442   0.9090   4.215      0.9308      0.2915    
   0.1612  0.0048  20.495   0.7401  0.02378    70415  0.010   0.9438   0.8965   4.218      0.9089      0.2916    
   0.1671  0.0033  19.955   0.7274  0.02799    49423  0.010   0.9353   0.8759   4.254       1.024      0.2942    
