 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    0.000   386.4      0.000   55.33       5.078       205.5     387.892    1.5318   0.3458   0.0000   0.00000  0.8961E-02  0.3738E-02   0.8426   0.0000   594.2       0.000       1.0055  0.5720    
    0.250   386.4      0.000   55.61       4.961       200.7     387.879    1.5195   0.3405   0.0693   0.02809  0.9008E-02  0.3652E-02   0.6310   0.0236   589.4       13.90       1.0213  0.5245    
    0.500   386.4      0.000   56.19       4.848       196.2     387.868    1.5077   0.3354   0.1432   0.05617  0.9101E-02  0.3569E-02   0.4854   0.0480   584.8       28.10       1.0390  0.4693    
    0.750   386.4      0.000   57.11       4.761       192.6     387.859    1.4986   0.3314   0.2224   0.08426  0.9250E-02  0.3505E-02   0.3881   0.0737   581.2       42.83       1.0569  0.4105    
    1.000   386.4      0.000   58.37       4.716       190.8     387.854    1.4938   0.3293   0.3059   0.11235  0.9454E-02  0.3472E-02   0.3225   0.1007   579.4       58.37       1.0740  0.3520    
    1.250   386.4      0.000   59.93       4.722       191.0     387.854    1.4945   0.3296   0.3921   0.14043  0.9707E-02  0.3476E-02   0.2770   0.1292   579.6       74.92       1.0897  0.2960    
    1.500   386.4      0.000   61.74       4.786       193.7     387.861    1.5012   0.3326   0.4782   0.16852  0.1000E-01  0.3524E-02   0.2442   0.1591   582.3       92.61       1.1036  0.2443    
    1.750   386.4      0.000   63.74       4.913       198.8     387.874    1.5145   0.3384   0.5612   0.19661  0.1032E-01  0.3617E-02   0.2199   0.1899   587.4       111.6       1.1155  0.1977    
    2.000   386.4      0.000   65.88       5.103       206.5     387.894    1.5344   0.3469   0.6381   0.22469  0.1067E-01  0.3757E-02   0.2012   0.2214   595.2       131.8       1.1255  0.1569    
    2.250   386.4      0.000   68.09       5.358       216.8     387.921    1.5611   0.3580   0.7068   0.25278  0.1103E-01  0.3944E-02   0.1865   0.2530   605.6       153.2       1.1336  0.1220    
    2.500   386.4      0.000   70.34       5.677       229.7     387.954    1.5945   0.3713   0.7657   0.28086  0.1139E-01  0.4179E-02   0.1744   0.2843   618.6       175.9       1.1399  0.9298E-01
    2.750   386.4      0.000   72.58       6.059       245.1     387.994    1.6345   0.3865   0.8142   0.30895  0.1175E-01  0.4461E-02   0.1644   0.3147   634.2       199.6       1.1446  0.6956E-01
    3.000   386.4      0.000   74.76       6.503       263.1     388.041    1.6810   0.4034   0.8524   0.33704  0.1211E-01  0.4788E-02   0.1558   0.3438   652.3       224.3       1.1477  0.5141E-01
    3.250   386.4      0.000   71.99       6.345       256.7     388.024    1.6645   0.3975   0.9114   0.36512  0.1166E-01  0.4671E-02   0.1391   0.3623   645.8       234.0       1.0671  0.2128E-01
    3.500   386.4      0.000   61.51       5.770       233.5     387.964    1.6042   0.3751   0.9222   0.39321  0.9963E-02  0.4248E-02   0.1110   0.3459   622.4       215.3       0.8902  0.1733E-01
    3.750   386.4      0.000   50.91       5.084       205.7     387.892    1.5324   0.3461   0.9281   0.42130  0.8246E-02  0.3743E-02   0.0861   0.3212   594.4       190.9       0.7201  0.1493E-01
    4.000   386.4      0.000   40.17       4.285       173.4     387.809    1.4487   0.3086   0.9268   0.44938  0.6506E-02  0.3155E-02   0.0639   0.2860   561.8       160.7       0.5569  0.1387E-01
    4.250   386.4      0.000   29.27       3.372       136.4     387.713    1.3531   0.2600   0.9117   0.47747  0.4740E-02  0.2482E-02   0.0440   0.2371   524.6       124.4       0.4006  0.1426E-01
    4.500   386.4      0.000   18.15       2.350       95.07     387.606    1.2461   0.1968   0.8589   0.50556  0.2939E-02  0.1730E-02   0.0258   0.1691   483.0       81.66       0.2513  0.1652E-01
    4.750   386.4      0.000   6.798       1.216       49.20     387.487    1.1273   0.1126   0.6563   0.53364  0.1101E-02  0.8952E-03   0.0092   0.0739   436.8       32.29       0.1088  0.2037E-01
    5.000   386.4      0.000  -1.892      0.5228       21.15     387.415    1.0547   0.0518  -0.4473   0.56173 -0.3065E-03  0.3849E-03  -0.0024  -0.0232   408.6      -9.462       0.0194  0.3514E-01
    5.250   386.4      0.000  -4.350      0.5496       22.24     387.418    1.0576   0.0543  -1.0269   0.58982 -0.7045E-03  0.4047E-03  -0.0053  -0.0557   409.7      -22.84       0.0037  0.4746E-01
    5.500   386.4      0.000  -5.768      0.6664       26.96     387.430    1.0698   0.0650  -1.1766   0.61790 -0.9342E-03  0.4906E-03  -0.0067  -0.0765   414.5      -31.72       0.0002  0.5761E-01
    5.750   386.4      0.000  -7.353      0.8111       32.82     387.445    1.0849   0.0781  -1.2883   0.64599 -0.1191E-02  0.5972E-03  -0.0082  -0.1006   420.4      -42.28      -0.0019  0.6858E-01
    6.000   386.4      0.000  -9.222      0.9798       39.64     387.463    1.1026   0.0928  -1.3958   0.67407 -0.1494E-02  0.7213E-03  -0.0099  -0.1295   427.2      -55.33      -0.0032  0.8075E-01
    6.250   386.4      0.000  -11.31       1.170       47.32     387.482    1.1225   0.1088  -1.4940   0.70216 -0.1832E-02  0.8610E-03  -0.0116  -0.1625   434.9      -70.70      -0.0039  0.9335E-01
    6.500   386.4      0.000  -13.68       1.377       55.70     387.504    1.1442   0.1256  -1.5967   0.73025 -0.2216E-02  0.1014E-02  -0.0135  -0.2006   443.4      -88.94      -0.0046  0.1065    
    6.750   386.4      0.000  -16.38       1.601       64.76     387.528    1.1676   0.1431  -1.7075   0.75833 -0.2653E-02  0.1178E-02  -0.0156  -0.2444   452.5      -110.6      -0.0053  0.1203    
    7.000   386.4      0.000  -19.31       1.843       74.55     387.553    1.1930   0.1613  -1.8134   0.78642 -0.3128E-02  0.1357E-02  -0.0177  -0.2924   462.3      -135.2      -0.0053  0.1341    
    7.250   386.4      0.000  -22.54       2.099       84.92     387.580    1.2198   0.1796  -1.9243   0.81451 -0.3651E-02  0.1545E-02  -0.0200  -0.3457   472.8      -163.4      -0.0052  0.1481    
    7.500   386.4      0.000  -26.07       2.368       95.83     387.608    1.2480   0.1981  -2.0401   0.84259 -0.4222E-02  0.1744E-02  -0.0223  -0.4041   483.7      -195.5      -0.0052  0.1622    
    7.750   386.4      0.000  -29.89       2.650       107.2     387.638    1.2775   0.2165  -2.1604   0.87068 -0.4841E-02  0.1951E-02  -0.0248  -0.4678   495.2      -231.7      -0.0052  0.1762    
    8.000   386.4      0.000  -34.02       2.944       119.1     387.668    1.3082   0.2348  -2.2853   0.89877 -0.5510E-02  0.2167E-02  -0.0273  -0.5366   507.2      -272.2      -0.0052  0.1903    

