 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   3.000   480.0      0.000   113.0       10.57       531.5     482.107    2.1072   0.5232   0.6377   0.37302  0.4238E-01  0.2479E-01   0.4265   0.3336   1016.       338.9       1.1259  0.1464    
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0250  0.0190  81.176   1.1397  0.09558    63026  0.002   0.8883   0.7512   3.046       2.319      0.4199    
   0.0305  0.0226  78.450   1.1360  0.10997    77778  0.002   0.8867   0.7534   3.065       2.692      0.4207    
   0.0360  0.0259  75.799   1.1325  0.12385    92800  0.002   0.8848   0.7514   3.087       3.011      0.4216    
   0.0415  0.0290  73.226   1.1293  0.13617   108084  0.002   0.8823   0.7482   3.110       3.286      0.4228    
   0.0470  0.0317  70.735   1.1267  0.14640   123477  0.003   0.8793   0.7454   3.134       3.521      0.4242    
   0.0526  0.0340  68.333   1.1245  0.15441   138736  0.003   0.8760   0.7433   3.158       3.719      0.4258    
   0.0581  0.0360  66.026   1.1229  0.16027   153599  0.003   0.8726   0.7420   3.183       3.884      0.4275    
   0.0636  0.0375  63.814   1.1218  0.16411   167847  0.003   0.8690   0.7416   3.209       4.019      0.4293    
   0.0691  0.0387  61.698   1.1212  0.16616   181249  0.003   0.8654   0.7419   3.234       4.128      0.4311    
   0.0746  0.0395  59.677   1.1210  0.16671   193587  0.003   0.8617   0.7429   3.258       4.212      0.4329    
   0.0801  0.0400  57.749   1.1210  0.16603   204654  0.003   0.8582   0.7444   3.283       4.275      0.4347    
   0.0856  0.0400  55.912   1.1214  0.16438   214253  0.004   0.8548   0.7463   3.306       4.319      0.4364    
   0.0911  0.0398  54.163   1.1219  0.16199   222214  0.004   0.8515   0.7484   3.329       4.345      0.4381    
   0.0966  0.0392  52.499   1.1225  0.15906   228385  0.004   0.8483   0.7507   3.351       4.356      0.4397    
   0.1021  0.0383  50.918   1.1233  0.15574   232596  0.004   0.8453   0.7531   3.371       4.354      0.4413    
   0.1077  0.0372  49.414   1.1241  0.15219   234633  0.004   0.8426   0.7555   3.391       4.340      0.4427    
   0.1132  0.0357  47.984   1.1250  0.14853   234289  0.004   0.8400   0.7578   3.410       4.315      0.4441    
   0.1187  0.0340  46.625   1.1259  0.14483   231428  0.004   0.8376   0.7599   3.427       4.282      0.4453    
   0.1242  0.0320  45.333   1.1268  0.14111   225966  0.005   0.8353   0.7621   3.444       4.246      0.4466    
   0.1297  0.0297  44.104   1.1278  0.13742   217578  0.005   0.8330   0.7641   3.461       4.208      0.4478    
   0.1352  0.0271  42.935   1.1286  0.13405   205056  0.005   0.8310   0.7657   3.476       4.158      0.4489    
   0.1407  0.0238  41.821   1.1294  0.13132   186899  0.005   0.8300   0.7662   3.487       4.084      0.4494    
   0.1462  0.0200  40.760   1.1301  0.12934   162145  0.005   0.8297   0.7656   3.496       3.990      0.4496    
   0.1517  0.0156  39.753   1.1310  0.12733   130583  0.006   0.8275   0.7652   3.510       3.950      0.4508    
   0.1572  0.0107  38.800   1.1340  0.11729    92003  0.006   0.8016   0.7805   3.606       4.552      0.4653    
