 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   4.000   454.3      0.000   131.6       13.80       656.6     456.735    2.4454   0.5879   0.8015   0.49459  0.4323E-01  0.2668E-01   0.3391   0.4712   1117.       526.3       1.0964  0.5033E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0257  0.0254  81.369   0.5383  0.04612   108460  0.003   0.9270   0.6810   4.023       1.177      0.5336    
   0.0316  0.0262  78.561   0.6176  0.03269   114553  0.003   0.9275   0.8327   4.034       1.380      0.5333    
   0.0375  0.0273  75.844   0.6990  0.02726   122151  0.003   0.9256   0.8911   4.047       1.604      0.5343    
   0.0434  0.0285  73.217   0.7824  0.02567   131335  0.003   0.9219   0.9167   4.062       1.853      0.5365    
   0.0493  0.0300  70.681   0.8680  0.02832   142201  0.003   0.9165   0.9231   4.082       2.132      0.5397    
   0.0551  0.0317  68.235   0.9558  0.03972   154848  0.003   0.9093   0.9078   4.105       2.448      0.5439    
   0.0610  0.0335  65.881   1.0407  0.05823   168961  0.003   0.9011   0.8822   4.132       2.787      0.5489    
   0.0669  0.0351  63.624   1.1081  0.07061   183291  0.003   0.8937   0.8709   4.160       3.092      0.5534    
   0.0728  0.0363  61.467   1.1434  0.07104   196375  0.004   0.8892   0.8773   4.186       3.296      0.5562    
   0.0787  0.0371  59.410   1.1501  0.06316   207632  0.004   0.8874   0.8931   4.207       3.394      0.5574    
   0.0846  0.0375  57.452   1.1452  0.05301   217252  0.004   0.8867   0.9105   4.226       3.437      0.5578    
   0.0905  0.0376  55.588   1.1430  0.04929   225414  0.004   0.8858   0.9171   4.246       3.472      0.5584    
   0.0964  0.0373  53.815   1.1440  0.05092   231989  0.004   0.8845   0.9148   4.265       3.503      0.5592    
   0.1023  0.0368  52.131   1.1454  0.05289   236757  0.004   0.8833   0.9118   4.283       3.521      0.5599    
   0.1082  0.0360  50.532   1.1457  0.05275   239518  0.004   0.8822   0.9118   4.301       3.524      0.5606    
   0.1140  0.0349  49.013   1.1454  0.05160   240113  0.005   0.8813   0.9131   4.317       3.515      0.5612    
   0.1199  0.0335  47.571   1.1452  0.05065   238396  0.005   0.8804   0.9140   4.332       3.496      0.5618    
   0.1258  0.0319  46.202   1.1454  0.05015   234262  0.005   0.8796   0.9141   4.347       3.472      0.5623    
   0.1317  0.0300  44.902   1.1456  0.04975   227646  0.005   0.8787   0.9138   4.361       3.446      0.5629    
   0.1376  0.0279  43.668   1.1458  0.04922   218233  0.005   0.8777   0.9137   4.375       3.418      0.5635    
   0.1435  0.0254  42.494   1.1459  0.04875   204840  0.005   0.8770   0.9134   4.388       3.380      0.5640    
   0.1494  0.0223  41.376   1.1460  0.04860   186008  0.005   0.8769   0.9125   4.398       3.321      0.5640    
   0.1553  0.0187  40.312   1.1461  0.04890   160822  0.006   0.8774   0.9107   4.405       3.247      0.5637    
   0.1612  0.0146  39.303   1.1462  0.04934   129111  0.006   0.8763   0.9087   4.417       3.217      0.5644    
   0.1671  0.0100  38.351   1.1472  0.04622    90712  0.006   0.8566   0.9137   4.498       3.721      0.5774    
