 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    0.000   321.8      0.000   38.13       5.240       176.6     323.339    1.5487   0.3526   0.0000   0.00000  0.2497E-01  0.2019E-01   0.9053   0.0000   500.8       0.000       0.9032  0.8350    
    0.250   321.8      0.000   38.45       5.065       170.7     323.320    1.5304   0.3449   0.0563   0.04364  0.2518E-01  0.1951E-01   0.6928   0.0194   494.8       9.612       0.9321  0.7521    
    0.500   321.8      0.000   39.30       4.903       165.2     323.303    1.5134   0.3377   0.1189   0.08728  0.2574E-01  0.1889E-01   0.5462   0.0402   489.3       19.65       0.9624  0.6577    
    0.750   321.8      0.000   40.77       4.784       161.2     323.291    1.5010   0.3322   0.1897   0.13092  0.2670E-01  0.1843E-01   0.4494   0.0630   485.3       30.58       0.9914  0.5595    
    1.000   321.8      0.000   42.82       4.729       159.4     323.285    1.4952   0.3297   0.2687   0.17456  0.2804E-01  0.1822E-01   0.3857   0.0886   483.4       42.82       1.0174  0.4637    
    1.250   321.8      0.000   45.36       4.751       160.1     323.288    1.4976   0.3307   0.3541   0.21820  0.2970E-01  0.1830E-01   0.3429   0.1171   484.1       56.69       1.0395  0.3748    
    1.500   321.8      0.000   48.27       4.859       163.7     323.299    1.5088   0.3357   0.4422   0.26184  0.3161E-01  0.1872E-01   0.3131   0.1484   487.8       72.40       1.0576  0.2956    
    1.750   321.8      0.000   51.44       5.056       170.4     323.319    1.5295   0.3446   0.5283   0.30548  0.3368E-01  0.1948E-01   0.2915   0.1820   494.5       90.01       1.0717  0.2272    
    2.000   321.8      0.000   54.76       5.344       180.1     323.350    1.5596   0.3571   0.6082   0.34912  0.3586E-01  0.2059E-01   0.2753   0.2172   504.3       109.5       1.0822  0.1702    
    2.250   321.8      0.000   58.15       5.721       192.8     323.389    1.5991   0.3728   0.6786   0.39276  0.3808E-01  0.2204E-01   0.2624   0.2530   517.1       130.8       1.0894  0.1239    
