 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   1.000   321.8      0.000   47.59       4.911       165.5     323.304    1.5143   0.3381   0.2875   0.17456  0.3117E-01  0.1892E-01   0.4222   0.0972   489.6       47.59       1.1131  0.4546    
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0257  0.0254  81.369   0.4736  0.48570    34284  0.001   0.9264  -0.1528   1.031       2.154      0.1884    
   0.0316  0.0262  78.561   0.5342  0.48643    39130  0.001   0.9199   0.0370   1.043       2.391      0.1898    
   0.0375  0.0273  75.844   0.5953  0.49275    44899  0.001   0.9098   0.1433   1.056       2.660      0.1919    
   0.0434  0.0285  73.217   0.6587  0.51280    51629  0.001   0.8966   0.2009   1.073       2.969      0.1947    
   0.0493  0.0300  70.681   0.7251  0.55089    59381  0.001   0.8802   0.2274   1.093       3.324      0.1983    
   0.0551  0.0317  68.235   0.7941  0.60578    68229  0.001   0.8608   0.2356   1.116       3.725      0.2028    
   0.0610  0.0335  65.881   0.8649  0.66347    78062  0.002   0.8391   0.2391   1.144       4.160      0.2080    
   0.0669  0.0351  63.624   0.9357  0.69130    88291  0.002   0.8165   0.2537   1.174       4.593      0.2138    
   0.0728  0.0363  61.467   1.0049  0.67442    98123  0.002   0.7944   0.2841   1.205       4.985      0.2197    
   0.0787  0.0371  59.410   1.0665  0.62578   107143  0.002   0.7744   0.3239   1.235       5.301      0.2254    
   0.0846  0.0375  57.452   1.1103  0.57070   115341  0.002   0.7579   0.3611   1.263       5.505      0.2303    
   0.0905  0.0376  55.588   1.1288  0.53649   122738  0.002   0.7458   0.3801   1.286       5.579      0.2340    
   0.0964  0.0373  53.815   1.1311  0.51930   129193  0.002   0.7369   0.3851   1.304       5.565      0.2369    
   0.1023  0.0368  52.131   1.1317  0.50377   134512  0.002   0.7290   0.3884   1.321       5.524      0.2395    
   0.1082  0.0360  50.532   1.1380  0.48281   138520  0.003   0.7211   0.3965   1.338       5.489      0.2421    
   0.1140  0.0349  49.013   1.1467  0.45996   141082  0.003   0.7136   0.4065   1.354       5.448      0.2446    
   0.1199  0.0335  47.571   1.1544  0.43888   142075  0.003   0.7070   0.4155   1.369       5.390      0.2469    
   0.1258  0.0319  46.202   1.1602  0.42019   141403  0.003   0.7014   0.4228   1.383       5.316      0.2489    
   0.1317  0.0300  44.902   1.1653  0.40281   138994  0.003   0.6962   0.4294   1.395       5.236      0.2507    
   0.1376  0.0279  43.668   1.1706  0.38602   134633  0.003   0.6913   0.4361   1.407       5.156      0.2525    
   0.1435  0.0254  42.494   1.1756  0.37029   127560  0.003   0.6873   0.4423   1.417       5.063      0.2540    
   0.1494  0.0223  41.376   1.1802  0.35633   116823  0.003   0.6847   0.4471   1.425       4.943      0.2549    
   0.1553  0.0187  40.312   1.1842  0.34418   101791  0.004   0.6835   0.4505   1.429       4.801      0.2554    
   0.1612  0.0146  39.303   1.1884  0.33206    82296  0.004   0.6799   0.4550   1.439       4.721      0.2568    
   0.1671  0.0100  38.351   1.1975  0.30498    58162  0.004   0.6438   0.4835   1.514       5.353      0.2711    
