 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   1.000   100.0      0.000   6.446      0.7239       7.581     101.076    1.0758   0.0697   0.8504   0.56172  0.4371E-01  0.2888E-01   0.0670   0.0593   108.7       6.446       1.0376  0.2684E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0257  0.0254  81.369   0.5455  0.07117    26854  0.001   0.9243   0.4604   1.005       1.094      0.6078    
   0.0316  0.0262  78.561   0.5931  0.05623    28239  0.001   0.9287   0.6718   1.007       1.226      0.6048    
   0.0375  0.0273  75.844   0.6492  0.05099    29967  0.001   0.9295   0.7628   1.009       1.386      0.6043    
   0.0434  0.0285  73.217   0.7260  0.04714    32053  0.001   0.9264   0.8232   1.012       1.607      0.6063    
   0.0493  0.0300  70.681   0.8225  0.04445    34520  0.001   0.9202   0.8640   1.016       1.894      0.6104    
   0.0551  0.0317  68.235   0.9364  0.04660    37386  0.001   0.9112   0.8823   1.021       2.253      0.6165    
   0.0610  0.0335  65.881   1.0327  0.06076    40575  0.001   0.9026   0.8685   1.027       2.605      0.6224    
   0.0669  0.0351  63.624   1.1042  0.06257    43788  0.001   0.8956   0.8785   1.033       2.909      0.6272    
   0.0728  0.0363  61.467   1.1555  0.03140    46677  0.001   0.8905   0.9426   1.039       3.150      0.6308    
   0.0787  0.0371  59.410   1.1253  0.02477    49121  0.001   0.8927   0.9546   1.042       3.152      0.6293    
   0.0846  0.0375  57.452   1.0858  0.01882    51168  0.001   0.8958   0.9649   1.045       3.102      0.6271    
   0.0905  0.0376  55.588   1.0728  0.01640    52866  0.001   0.8966   0.9694   1.048       3.107      0.6265    
   0.0964  0.0373  53.815   1.0801  0.01724    54190  0.001   0.8955   0.9684   1.052       3.156      0.6272    
   0.1023  0.0368  52.131   1.0887  0.01836    55097  0.001   0.8944   0.9668   1.057       3.196      0.6281    
   0.1082  0.0360  50.532   1.0892  0.01843    55546  0.001   0.8940   0.9667   1.060       3.202      0.6284    
   0.1140  0.0349  49.013   1.0857  0.01806    55505  0.001   0.8939   0.9672   1.063       3.186      0.6284    
   0.1199  0.0335  47.571   1.0829  0.01789    54944  0.001   0.8939   0.9673   1.066       3.164      0.6284    
   0.1258  0.0319  46.202   1.0816  0.01807    53842  0.001   0.8937   0.9668   1.069       3.140      0.6285    
   0.1317  0.0300  44.902   1.0803  0.01842    52188  0.001   0.8935   0.9659   1.072       3.114      0.6287    
   0.1376  0.0279  43.668   1.0782  0.01881    49912  0.001   0.8933   0.9648   1.075       3.084      0.6289    
   0.1435  0.0254  42.494   1.0759  0.01937    46746  0.001   0.8932   0.9633   1.077       3.045      0.6289    
   0.1494  0.0223  41.376   1.0748  0.02029    42362  0.001   0.8936   0.9611   1.079       2.991      0.6286    
   0.1553  0.0187  40.312   1.0747  0.02184    36557  0.001   0.8943   0.9577   1.080       2.925      0.6281    
   0.1612  0.0146  39.303   1.0713  0.02431    29297  0.001   0.8939   0.9524   1.082       2.891      0.6284    
   0.1671  0.0100  38.351   1.0285  0.02759    20555  0.001   0.8811   0.9436   1.095       3.219      0.6375    
