 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   4.000   321.8      0.000   40.64       5.307       178.8     323.346    1.5558   0.3555   0.9089   0.69825  0.2661E-01  0.2044E-01   0.1077   0.3231   503.0       162.6       0.5499  0.1092E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0257  0.0254  81.369   0.3131  0.03116   106144  0.003   0.9531   0.5073   4.008      0.5566      0.7326    
   0.0316  0.0262  78.561   0.3105  0.02830   110995  0.003   0.9599   0.6285   4.010      0.5729      0.7274    
   0.0375  0.0273  75.844   0.3285  0.02547   117037  0.003   0.9618   0.7275   4.013      0.6304      0.7260    
   0.0434  0.0285  73.217   0.3647  0.02343   124325  0.003   0.9606   0.7990   4.018      0.7307      0.7269    
   0.0493  0.0300  70.681   0.4166  0.02268   132918  0.003   0.9571   0.8447   4.024      0.8747      0.7295    
   0.0551  0.0317  68.235   0.4811  0.02201   142880  0.003   0.9519   0.8788   4.033       1.063      0.7336    
   0.0610  0.0335  65.881   0.5479  0.02086   153894  0.003   0.9458   0.9050   4.044       1.276      0.7382    
   0.0669  0.0351  63.624   0.5966  0.01923   164817  0.003   0.9413   0.9235   4.055       1.459      0.7418    
   0.0728  0.0363  61.467   0.6123  0.01526   174375  0.003   0.9400   0.9432   4.064       1.557      0.7428    
   0.0787  0.0371  59.410   0.6015  0.01041   182128  0.003   0.9414   0.9619   4.070       1.574      0.7417    
   0.0846  0.0375  57.452   0.5840  0.00651   188334  0.003   0.9434   0.9761   4.075       1.561      0.7401    
   0.0905  0.0376  55.588   0.5756  0.00528   193221  0.003   0.9446   0.9808   4.080       1.563      0.7392    
   0.0964  0.0373  53.815   0.5749  0.00576   196743  0.003   0.9450   0.9794   4.086       1.577      0.7389    
   0.1023  0.0368  52.131   0.5756  0.00643   198767  0.004   0.9452   0.9774   4.092       1.590      0.7387    
   0.1082  0.0360  50.532   0.5750  0.00652   199177  0.004   0.9455   0.9773   4.098       1.592      0.7385    
   0.1140  0.0349  49.013   0.5741  0.00633   197891  0.004   0.9459   0.9781   4.103       1.589      0.7382    
   0.1199  0.0335  47.571   0.5741  0.00625   194830  0.004   0.9462   0.9784   4.109       1.583      0.7379    
   0.1258  0.0319  46.202   0.5752  0.00635   189950  0.004   0.9464   0.9782   4.114       1.577      0.7378    
   0.1317  0.0300  44.902   0.5769  0.00653   183230  0.004   0.9465   0.9776   4.119       1.571      0.7377    
   0.1376  0.0279  43.668   0.5786  0.00671   174449  0.004   0.9465   0.9770   4.124       1.565      0.7377    
   0.1435  0.0254  42.494   0.5808  0.00694   162692  0.004   0.9465   0.9762   4.128       1.555      0.7377    
   0.1494  0.0223  41.376   0.5838  0.00729   146847  0.004   0.9467   0.9750   4.132       1.537      0.7375    
   0.1553  0.0187  40.312   0.5876  0.00787   126249  0.004   0.9471   0.9730   4.135       1.513      0.7373    
   0.1612  0.0146  39.303   0.5900  0.00882   100826  0.005   0.9468   0.9697   4.140       1.507      0.7375    
   0.1671  0.0100  38.351   0.5714  0.01050    70526  0.005   0.9397   0.9627   4.163       1.699      0.7431    
