 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   5.000   321.8      0.000   2.673      0.8017       27.02     322.874    1.0840   0.0772   0.4947   0.87281  0.1750E-02  0.3088E-02   0.0057   0.0382   350.0       13.37       0.0563  0.1387E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0257  0.0254  81.369   0.1005  0.02818   131613  0.003   0.9836  -0.6167   5.002      0.1583      0.8874    
   0.0316  0.0262  78.561   0.0624  0.02584   137089  0.003   0.9912  -0.8846   5.002      0.1026      0.8806    
   0.0375  0.0273  75.844   0.0442  0.02233   143899  0.003   0.9944  -0.8993   5.002      0.7595E-01  0.8777    
   0.0434  0.0285  73.217   0.0408  0.02020   152089  0.004   0.9952  -0.6145   5.002      0.7368E-01  0.8770    
   0.0493  0.0300  70.681   0.0479  0.02081   161713  0.004   0.9947  -0.2770   5.003      0.9126E-01  0.8775    
   0.0551  0.0317  68.235   0.0615  0.02247   172829  0.004   0.9934   0.0097   5.004      0.1243      0.8786    
   0.0610  0.0335  65.881   0.0762  0.02205   185030  0.004   0.9919   0.2603   5.006      0.1635      0.8799    
   0.0669  0.0351  63.624   0.0859  0.01929   196937  0.004   0.9910   0.4523   5.008      0.1945      0.8808    
   0.0728  0.0363  61.467   0.0902  0.01558   207039  0.004   0.9906   0.5946   5.009      0.2131      0.8811    
   0.0787  0.0371  59.410   0.0918  0.01192   214862  0.004   0.9906   0.7049   5.010      0.2239      0.8811    
   0.0846  0.0375  57.452   0.0898  0.00942   220764  0.004   0.9909   0.7689   5.011      0.2241      0.8808    
   0.0905  0.0376  55.588   0.0798  0.00877   225064  0.004   0.9921   0.7675   5.011      0.2027      0.8798    
   0.0964  0.0373  53.815   0.0646  0.00931   227748  0.004   0.9937   0.7107   5.009      0.1663      0.8784    
   0.1023  0.0368  52.131   0.0511  0.00996   228700  0.004   0.9951   0.6310   5.008      0.1325      0.8771    
   0.1082  0.0360  50.532   0.0431  0.01018   227825  0.004   0.9959   0.5760   5.007      0.1124      0.8764    
   0.1140  0.0349  49.013   0.0390  0.01019   225064  0.004   0.9963   0.5487   5.007      0.1016      0.8760    
   0.1199  0.0335  47.571   0.0363  0.01026   220366  0.004   0.9966   0.5288   5.007      0.9448E-01  0.8758    
   0.1258  0.0319  46.202   0.0345  0.01047   213711  0.004   0.9968   0.5107   5.007      0.8942E-01  0.8756    
   0.1317  0.0300  44.902   0.0340  0.01073   205107  0.005   0.9969   0.5033   5.007      0.8760E-01  0.8755    
   0.1376  0.0279  43.668   0.0351  0.01102   194330  0.005   0.9969   0.5118   5.007      0.8970E-01  0.8756    
   0.1435  0.0254  42.494   0.0374  0.01138   180393  0.005   0.9967   0.5291   5.008      0.9468E-01  0.8757    
   0.1494  0.0223  41.376   0.0406  0.01193   162103  0.005   0.9965   0.5461   5.009      0.1011      0.8759    
   0.1553  0.0187  40.312   0.0446  0.01280   138778  0.005   0.9962   0.5577   5.010      0.1087      0.8761    
   0.1612  0.0146  39.303   0.0495  0.01423   110387  0.005   0.9958   0.5601   5.011      0.1197      0.8765    
   0.1671  0.0100  38.351   0.0538  0.01692    76927  0.005   0.9947   0.5319   5.015      0.1518      0.8775    
