 
# QPROP Version 1.22
# 
# Nemo MIL Input                                                                  
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   6.000   321.8      0.000  -13.70     -0.2567      -8.650     322.763    0.9731  -0.0275   9.5032   1.04737 -0.8972E-02 -0.9888E-03  -0.0246  -0.2617   314.1      -82.20      -0.0733  0.4791E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0257  0.0254  81.369  -0.0476  0.02646   157232  0.004   1.0084   5.2451   5.999     -0.6802E-01   1.039    
   0.0316  0.0262  78.561  -0.1112  0.02406   163413  0.004   1.0169   2.2885   5.997     -0.1665       1.030    
   0.0375  0.0273  75.844  -0.1562  0.01988   171088  0.004   1.0213   1.6369   5.994     -0.2457       1.026    
   0.0434  0.0285  73.217  -0.1893  0.01760   180297  0.004   1.0239   1.4055   5.992     -0.3143       1.023    
   0.0493  0.0300  70.681  -0.2164  0.01940   191087  0.004   1.0259   1.3502   5.989     -0.3811       1.021    
   0.0551  0.0317  68.235  -0.2423  0.02378   203507  0.004   1.0281   1.3504   5.985     -0.4544       1.019    
   0.0610  0.0335  65.881  -0.2690  0.02640   217063  0.004   1.0307   1.3237   5.980     -0.5383       1.016    
   0.0669  0.0351  63.624  -0.2917  0.02528   230127  0.004   1.0329   1.2658   5.975     -0.6191       1.014    
   0.0728  0.0363  61.467  -0.2996  0.02237   240953  0.004   1.0333   1.2150   5.971     -0.6657       1.014    
   0.0787  0.0371  59.410  -0.1310  0.03986   249033  0.004   1.0141   1.9444   5.986     -0.2987       1.033    
   0.0846  0.0375  57.452  -0.0075  0.04777   254796  0.004   1.0008  -7.1056   5.999     -0.1749E-01   1.047    
   0.0905  0.0376  55.588   0.0300  0.05353   258652  0.005   0.9969  -1.3266   6.004      0.7102E-01   1.051    
   0.0964  0.0373  53.815   0.0122  0.05517   260616  0.005   0.9988  -2.1393   6.002      0.2936E-01   1.049    
   0.1023  0.0368  52.131  -0.0111  0.05598   260589  0.005   1.0011  -5.1367   5.998     -0.2697E-01   1.046    
   0.1082  0.0360  50.532  -0.0141  0.05785   258493  0.005   1.0014  -5.1751   5.998     -0.3450E-01   1.046    
   0.1140  0.0349  49.013  -0.0073  0.06010   254293  0.005   1.0007  -3.2333   5.999     -0.1784E-01   1.047    
   0.1199  0.0335  47.571  -0.0030  0.06185   247961  0.005   1.0003  -2.4529   5.999     -0.7400E-02   1.047    
   0.1258  0.0319  46.202  -0.0036  0.06293   239505  0.005   1.0003  -2.2652   5.999     -0.8785E-02   1.047    
   0.1317  0.0300  44.902  -0.0055  0.06365   228957  0.005   1.0005  -2.1978   5.999     -0.1333E-01   1.047    
   0.1376  0.0279  43.668  -0.0060  0.06425   216096  0.005   1.0005  -2.0426   5.999     -0.1461E-01   1.047    
   0.1435  0.0254  42.494  -0.0056  0.06480   199850  0.005   1.0005  -1.8458   5.999     -0.1353E-01   1.047    
   0.1494  0.0223  41.376  -0.0052  0.06535   178940  0.005   1.0004  -1.6749   5.999     -0.1236E-01   1.047    
   0.1553  0.0187  40.312  -0.0052  0.06603   152656  0.005   1.0004  -1.5441   5.999     -0.1205E-01   1.047    
   0.1612  0.0146  39.303  -0.0054  0.06710   121016  0.005   1.0004  -1.4338   5.999     -0.1227E-01   1.047    
   0.1671  0.0100  38.351  -0.0054  0.06927    84060  0.006   1.0005  -1.3284   5.999     -0.1448E-01   1.047    
