 
# QPROP Version 1.22
# 
# Larrabee Prop: 355.6mm. 200W @ 650rpm                                           
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.11390E-02 kg/m-s
#   a   =  1484.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    0.000   645.0      0.000   94.46       3.357       226.7     646.352    1.3515   0.2596   0.0000   0.00000  0.1287E-01  0.2572E-02   1.3623   0.0000   873.6       0.000       1.1065  0.2601    
    0.500   645.0      0.000   95.76       3.401       229.7     646.356    1.3562   0.2621   0.2084   0.04163  0.1305E-01  0.2606E-02   0.9600   0.0546   876.6       47.88       1.1196  0.2066    
    1.000   645.0      0.000   97.93       3.557       240.2     646.372    1.3725   0.2708   0.4076   0.08327  0.1334E-01  0.2725E-02   0.7100   0.1104   887.1       97.93       1.1320  0.1507    
    1.500   645.0      0.000   100.7       3.802       256.8     646.398    1.3982   0.2842   0.5881   0.12490  0.1372E-01  0.2913E-02   0.5563   0.1671   903.8       151.0       1.1397  0.9758E-01
    2.000   645.0      0.000   93.48       3.644       246.1     646.382    1.3816   0.2756   0.7595   0.16654  0.1273E-01  0.2792E-02   0.4159   0.2093   893.1       187.0       1.0288  0.4201E-01
    2.500   645.0      0.000   69.61       3.045       205.7     646.319    1.3189   0.2413   0.8461   0.20817  0.9483E-02  0.2333E-02   0.2600   0.2042   852.4       174.0       0.7423  0.2015E-01
    3.000   645.0      0.000   41.38       2.092       141.3     646.219    1.2191   0.1794   0.8785   0.24981  0.5637E-02  0.1603E-02   0.1326   0.1576   787.8       124.2       0.4262  0.1373E-01
    3.500   645.0      0.000   11.49      0.8036       54.28     646.084    1.0842   0.0775   0.7411   0.29144  0.1566E-02  0.6157E-03   0.0321   0.0574   700.5       40.23       0.1167  0.1457E-01
    4.000   645.0      0.000  -20.37     -0.7966      -53.81     645.917    0.9166  -0.0909   1.5147   0.33307 -0.2776E-02 -0.6103E-03  -0.0504  -0.1377   592.0      -81.50      -0.1812  0.2666E-01
    4.500   645.0      0.000  -48.72      -2.209      -149.2     645.769    0.7687  -0.3006   1.4694   0.37471 -0.6637E-02 -0.1692E-02  -0.1076  -0.4417   496.4      -219.2      -0.3977  0.6037E-01
    5.000   645.0      0.000  -57.61      -2.408      -162.6     645.748    0.7478  -0.3368   1.7709   0.41634 -0.7847E-02 -0.1845E-02  -0.1145  -0.5964   482.9      -288.0      -0.4236  0.9576E-01
    5.500   645.0      0.000  -63.41      -2.461      -166.3     645.742    0.7422  -0.3469   2.0976   0.45798 -0.8637E-02 -0.1886E-02  -0.1144  -0.7276   479.3      -348.7      -0.4185  0.1265    
    6.000   645.0      0.000  -70.63      -2.448      -165.3     645.744    0.7437  -0.3443   2.5632   0.49961 -0.9621E-02 -0.1875E-02  -0.1168  -0.8824   480.2      -423.8      -0.4130  0.1609    

