 
# QPROP Version 1.22
# 
# Larrabee Prop: 355.6mm. 200W @ 650rpm                                           
# 
# Any motor                                                                       
#    0.0000      motor parameter 1 ,  R  (Ohms) 
#    0.0000      motor parameter 2 ,  Io (Amps) 
#    0.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.11390E-02 kg/m-s
#   a   =  1484.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
 ** VOLTM: Voltage convergence failed. Res = NaN                    
#   3.000   650.0      0.000   43.39       2.177       148.1     NaN        0.0000   0.0000   0.8786   0.24788  0.5820E-02  0.1642E-02   0.1389   0.0000 NaN           130.2       0.4407  0.1383E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0208  0.0098  65.691   0.4527  0.02611    29168  0.002   0.9714   0.8519   3.015      0.6356      0.2552    
   0.0265  0.0133  60.235   0.4607  0.02194    41815  0.002   0.9671   0.8934   3.026      0.8399      0.2563    
   0.0322  0.0161  55.315   0.4658  0.01941    53900  0.003   0.9641   0.9140   3.037      0.9910      0.2571    
   0.0379  0.0183  50.929   0.4697  0.01770    65204  0.003   0.9619   0.9256   3.048       1.098      0.2577    
   0.0436  0.0199  47.046   0.4734  0.01651    75483  0.003   0.9600   0.9324   3.059       1.168      0.2582    
   0.0492  0.0209  43.580   0.4740  0.01560    84588  0.003   0.9587   0.9363   3.069       1.202      0.2586    
   0.0549  0.0214  40.445   0.4686  0.01486    92395  0.003   0.9582   0.9379   3.077       1.198      0.2587    
   0.0606  0.0215  37.582   0.4565  0.01422    98852  0.003   0.9586   0.9378   3.082       1.160      0.2586    
   0.0663  0.0213  35.007   0.4430  0.01372   104070  0.004   0.9593   0.9367   3.086       1.107      0.2584    
   0.0720  0.0210  32.744   0.4338  0.01336   108274  0.004   0.9597   0.9352   3.089       1.059      0.2583    
   0.0776  0.0204  30.794   0.4323  0.01314   111695  0.004   0.9595   0.9340   3.094       1.027      0.2583    
   0.0833  0.0198  29.096   0.4356  0.01302   114369  0.004   0.9589   0.9330   3.098       1.005      0.2585    
   0.0890  0.0191  27.579   0.4399  0.01295   116331  0.005   0.9583   0.9317   3.103      0.9829      0.2587    
   0.0947  0.0184  26.185   0.4418  0.01289   117633  0.005   0.9579   0.9300   3.107      0.9555      0.2588    
   0.1004  0.0176  24.901   0.4418  0.01286   118310  0.005   0.9577   0.9278   3.109      0.9247      0.2588    
   0.1060  0.0168  23.728   0.4415  0.01285   118408  0.005   0.9576   0.9253   3.112      0.8942      0.2589    
   0.1117  0.0160  22.664   0.4418  0.01288   117969  0.006   0.9573   0.9227   3.114      0.8667      0.2589    
   0.1174  0.0152  21.690   0.4424  0.01294   116919  0.006   0.9571   0.9199   3.117      0.8408      0.2590    
   0.1231  0.0144  20.785   0.4420  0.01304   115117  0.006   0.9570   0.9167   3.118      0.8138      0.2590    
   0.1288  0.0135  19.926   0.4395  0.01317   112413  0.006   0.9571   0.9128   3.119      0.7831      0.2590    
   0.1344  0.0125  19.112   0.4354  0.01335   108725  0.006   0.9575   0.9082   3.119      0.7499      0.2589    
   0.1401  0.0116  18.353   0.4311  0.01361   104025  0.007   0.9579   0.9029   3.119      0.7174      0.2588    
   0.1458  0.0105  17.658   0.4282  0.01397    98290  0.007   0.9583   0.8970   3.119      0.6887      0.2587    
   0.1515  0.0095  17.031   0.4275  0.01447    91484  0.007   0.9583   0.8904   3.119      0.6658      0.2587    
   0.1572  0.0084  16.473   0.4291  0.01516    83561  0.007   0.9580   0.8831   3.121      0.6511      0.2588    
