 
# QPROP Version 1.22
# 
# Nemo_CR MIL Input                                                               
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   2.000   375.4      0.000   60.43       5.364       210.9     376.962    1.5618   0.3582   0.5731   0.25438  0.1518E-01  0.6737E-02   0.2222   0.2053   588.7       120.9       1.2186  0.2310    
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0371  0.0110  74.824   1.2112  0.23419    27915  0.002   0.9457   0.6351   2.037       1.511      0.2690    
   0.0438  0.0126  71.683   1.2021  0.25719    33878  0.002   0.9431   0.6274   2.048       1.651      0.2697    
   0.0504  0.0139  68.682   1.1971  0.27600    40106  0.002   0.9400   0.6195   2.059       1.772      0.2706    
   0.0571  0.0151  65.822   1.1963  0.29085    46524  0.002   0.9363   0.6122   2.071       1.880      0.2717    
   0.0637  0.0162  63.105   1.1981  0.30124    52967  0.002   0.9323   0.6066   2.084       1.973      0.2729    
   0.0704  0.0170  60.535   1.2001  0.30575    59211  0.002   0.9283   0.6040   2.096       2.045      0.2740    
   0.0770  0.0175  58.111   1.2010  0.30388    65063  0.002   0.9246   0.6050   2.108       2.095      0.2751    
   0.0837  0.0179  55.826   1.2015  0.29784    70457  0.003   0.9212   0.6080   2.119       2.126      0.2761    
   0.0903  0.0181  53.673   1.2029  0.29012    75362  0.003   0.9179   0.6116   2.130       2.145      0.2771    
   0.0970  0.0181  51.647   1.2051  0.28183    79732  0.003   0.9147   0.6151   2.140       2.154      0.2781    
   0.1036  0.0180  49.744   1.2078  0.27306    83508  0.003   0.9117   0.6186   2.150       2.153      0.2790    
   0.1103  0.0178  47.961   1.2104  0.26382    86644  0.003   0.9090   0.6222   2.159       2.144      0.2798    
   0.1169  0.0174  46.289   1.2130  0.25442    89112  0.003   0.9064   0.6259   2.168       2.128      0.2806    
   0.1235  0.0169  44.718   1.2156  0.24513    90900  0.004   0.9040   0.6295   2.176       2.108      0.2814    
   0.1302  0.0164  43.241   1.2182  0.23612    91960  0.004   0.9018   0.6329   2.183       2.083      0.2821    
   0.1368  0.0157  41.852   1.2206  0.22738    92172  0.004   0.8999   0.6362   2.190       2.053      0.2827    
   0.1435  0.0149  40.545   1.2228  0.21892    91411  0.004   0.8982   0.6393   2.196       2.018      0.2832    
   0.1501  0.0141  39.314   1.2249  0.21106    89648  0.004   0.8969   0.6421   2.201       1.979      0.2836    
   0.1568  0.0131  38.154   1.2273  0.20424    86922  0.004   0.8956   0.6439   2.206       1.939      0.2840    
   0.1634  0.0121  37.060   1.2299  0.19848    83172  0.005   0.8943   0.6449   2.211       1.902      0.2845    
   0.1701  0.0109  36.027   1.2318  0.19246    77946  0.005   0.8933   0.6462   2.215       1.860      0.2848    
   0.1767  0.0096  35.048   1.2317  0.18486    70671  0.005   0.8931   0.6493   2.217       1.805      0.2848    
   0.1834  0.0080  34.121   1.2301  0.17668    60993  0.005   0.8936   0.6532   2.217       1.742      0.2847    
   0.1900  0.0062  33.248   1.2288  0.17064    48872  0.005   0.8929   0.6550   2.220       1.703      0.2849    
   0.1967  0.0042  32.430   1.2309  0.16580    34285  0.005   0.8760   0.6594   2.260       1.948      0.2904    
