 
# QPROP Version 1.22
# 
# Nemo_CR MIL Input                                                               
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   3.000   375.4      0.000   70.76       6.745       265.2     377.106    1.7063   0.4121   0.8005   0.38156  0.1777E-01  0.8471E-02   0.1778   0.3299   643.5       212.3       1.2564  0.8667E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0371  0.0110  74.824   1.2545  0.07743    37619  0.002   0.9474   0.8421   3.029       1.198      0.4028    
   0.0438  0.0126  71.683   1.2525  0.08038    44415  0.002   0.9468   0.8521   3.038       1.332      0.4030    
   0.0504  0.0139  68.682   1.2519  0.08440    51222  0.002   0.9460   0.8561   3.048       1.447      0.4034    
   0.0571  0.0151  65.822   1.2529  0.08923    57997  0.003   0.9448   0.8561   3.058       1.547      0.4039    
   0.0637  0.0162  63.105   1.2546  0.09403    64594  0.003   0.9435   0.8544   3.069       1.630      0.4044    
   0.0704  0.0170  60.535   1.2558  0.09732    70798  0.003   0.9422   0.8533   3.079       1.694      0.4050    
   0.0770  0.0175  58.111   1.2557  0.09819    76441  0.003   0.9411   0.8542   3.089       1.738      0.4054    
   0.0837  0.0179  55.826   1.2552  0.09752    81500  0.003   0.9401   0.8561   3.099       1.767      0.4059    
   0.0903  0.0181  53.673   1.2549  0.09645    85983  0.003   0.9391   0.8576   3.108       1.784      0.4063    
   0.0970  0.0181  51.647   1.2550  0.09539    89869  0.003   0.9380   0.8585   3.116       1.793      0.4068    
   0.1036  0.0180  49.744   1.2553  0.09419    93118  0.003   0.9371   0.8590   3.125       1.794      0.4072    
   0.1103  0.0178  47.961   1.2556  0.09274    95700  0.004   0.9361   0.8595   3.132       1.789      0.4076    
   0.1169  0.0174  46.289   1.2559  0.09111    97599  0.004   0.9353   0.8600   3.140       1.778      0.4080    
   0.1235  0.0169  44.718   1.2563  0.08943    98814  0.004   0.9344   0.8603   3.147       1.764      0.4084    
   0.1302  0.0164  43.241   1.2567  0.08777    99302  0.004   0.9336   0.8604   3.153       1.747      0.4087    
   0.1368  0.0157  41.852   1.2571  0.08610    98939  0.004   0.9328   0.8605   3.159       1.726      0.4091    
   0.1435  0.0149  40.545   1.2573  0.08442    97600  0.004   0.9322   0.8604   3.165       1.700      0.4093    
   0.1501  0.0141  39.314   1.2576  0.08294    95261  0.004   0.9317   0.8601   3.170       1.672      0.4096    
   0.1568  0.0131  38.154   1.2582  0.08195    91967  0.005   0.9311   0.8589   3.174       1.644      0.4098    
   0.1634  0.0121  37.060   1.2590  0.08150    87657  0.005   0.9306   0.8570   3.179       1.617      0.4100    
   0.1701  0.0109  36.027   1.2594  0.08078    81861  0.005   0.9302   0.8553   3.183       1.587      0.4102    
   0.1767  0.0096  35.048   1.2584  0.07900    73984  0.005   0.9302   0.8552   3.185       1.546      0.4102    
   0.1834  0.0080  34.121   1.2564  0.07692    63667  0.005   0.9307   0.8555   3.186       1.498      0.4100    
   0.1900  0.0062  33.248   1.2546  0.07654    50879  0.005   0.9302   0.8531   3.190       1.471      0.4102    
   0.1967  0.0042  32.430   1.2549  0.07838    35609  0.006   0.9185   0.8482   3.226       1.694      0.4154    
