 
# QPROP Version 1.22
# 
# Nemo_CR MIL Input                                                               
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   6.000   463.8      0.000   39.35       5.330       258.9     465.308    1.5582   0.3570   0.9121   0.61774  0.6476E-02  0.4387E-02   0.0507   0.3256   725.0       236.1       0.3768  0.1331E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0371  0.0110  74.824   0.4935  0.02349    70660  0.004   0.9776   0.8264   6.011      0.3549      0.6319    
   0.0438  0.0126  71.683   0.4455  0.02292    81767  0.004   0.9799   0.8369   6.013      0.3633      0.6304    
   0.0504  0.0139  68.682   0.4180  0.02089    92344  0.004   0.9813   0.8580   6.016      0.3762      0.6295    
   0.0571  0.0151  65.822   0.4095  0.01732   102359  0.004   0.9818   0.8896   6.019      0.3985      0.6292    
   0.0637  0.0162  63.105   0.4106  0.01359   111620  0.005   0.9819   0.9192   6.023      0.4247      0.6292    
   0.0704  0.0170  60.535   0.4082  0.01120   119847  0.005   0.9821   0.9366   6.026      0.4421      0.6290    
   0.0770  0.0175  58.111   0.3954  0.01064   126858  0.005   0.9829   0.9406   6.029      0.4424      0.6285    
   0.0837  0.0179  55.826   0.3784  0.01099   132724  0.005   0.9838   0.9383   6.030      0.4330      0.6279    
   0.0903  0.0181  53.673   0.3654  0.01127   137547  0.005   0.9845   0.9364   6.032      0.4242      0.6274    
   0.0970  0.0181  51.647   0.3586  0.01116   141374  0.005   0.9850   0.9372   6.034      0.4198      0.6272    
   0.1036  0.0180  49.744   0.3554  0.01095   144211  0.005   0.9853   0.9388   6.036      0.4175      0.6270    
   0.1103  0.0178  47.961   0.3539  0.01086   146066  0.005   0.9855   0.9397   6.038      0.4153      0.6268    
   0.1169  0.0174  46.289   0.3537  0.01085   146964  0.006   0.9856   0.9402   6.041      0.4135      0.6267    
   0.1235  0.0169  44.718   0.3552  0.01085   146940  0.006   0.9857   0.9407   6.043      0.4126      0.6267    
   0.1302  0.0164  43.241   0.3582  0.01082   145963  0.006   0.9857   0.9414   6.045      0.4127      0.6267    
   0.1368  0.0157  41.852   0.3617  0.01087   143879  0.006   0.9856   0.9416   6.048      0.4125      0.6267    
   0.1435  0.0149  40.545   0.3650  0.01110   140533  0.006   0.9856   0.9407   6.050      0.4108      0.6268    
   0.1501  0.0141  39.314   0.3694  0.01133   135914  0.006   0.9856   0.9398   6.052      0.4095      0.6268    
   0.1568  0.0131  38.154   0.3775  0.01126   130108  0.007   0.9853   0.9410   6.054      0.4121      0.6269    
   0.1634  0.0121  37.060   0.3892  0.01090   123044  0.007   0.9850   0.9441   6.058      0.4186      0.6272    
   0.1701  0.0109  36.027   0.3959  0.01125   114079  0.007   0.9848   0.9427   6.060      0.4185      0.6273    
   0.1767  0.0096  35.048   0.3877  0.01369   102413  0.007   0.9853   0.9287   6.060      0.4006      0.6270    
   0.1834  0.0080  34.121   0.3670  0.01876    87585  0.007   0.9862   0.8979   6.057      0.3688      0.6264    
   0.1900  0.0062  33.248   0.3493  0.02540    69592  0.007   0.9869   0.8575   6.056      0.3463      0.6259    
   0.1967  0.0042  32.430   0.3442  0.03209    48451  0.008   0.9848   0.8206   6.066      0.3956      0.6273    
