 
# QPROP Version 1.22
# 
# Nemo_CR MIL Input                                                               
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    0.000   375.4      0.000   48.80       5.353       210.4     376.961    1.5605   0.3577   0.0000   0.00000  0.1226E-01  0.6723E-02   0.8705   0.0000   588.3       0.000       1.0464  0.7370    
    0.250   375.4      0.000   49.13       5.236       205.8     376.948    1.5483   0.3527   0.0597   0.03180  0.1234E-01  0.6576E-02   0.6585   0.0210   583.6       12.28       1.0686  0.6808    
    0.500   375.4      0.000   49.76       5.124       201.4     376.937    1.5366   0.3478   0.1235   0.06359  0.1250E-01  0.6436E-02   0.5113   0.0430   579.2       24.88       1.0933  0.6152    
    0.750   375.4      0.000   50.76       5.038       198.0     376.928    1.5276   0.3440   0.1922   0.09539  0.1275E-01  0.6327E-02   0.4122   0.0661   575.8       38.07       1.1186  0.5451    
    1.000   375.4      0.000   52.12       4.991       196.2     376.923    1.5227   0.3419   0.2656   0.12719  0.1309E-01  0.6269E-02   0.3451   0.0908   573.9       52.12       1.1429  0.4743    
    1.250   375.4      0.000   53.83       4.995       196.4     376.923    1.5231   0.3421   0.3426   0.15899  0.1352E-01  0.6274E-02   0.2986   0.1172   574.1       67.28       1.1654  0.4059    
    1.500   375.4      0.000   55.81       5.057       198.8     376.930    1.5295   0.3448   0.4212   0.19078  0.1402E-01  0.6351E-02   0.2654   0.1452   576.5       83.72       1.1856  0.3418    
    1.750   375.4      0.000   58.03       5.179       203.6     376.942    1.5423   0.3502   0.4988   0.22258  0.1458E-01  0.6504E-02   0.2409   0.1747   581.4       101.6       1.2034  0.2833    
    2.000   375.4      0.000   60.43       5.364       210.9     376.962    1.5618   0.3582   0.5731   0.25438  0.1518E-01  0.6737E-02   0.2222   0.2053   588.7       120.9       1.2186  0.2310    
    2.250   375.4      0.000   62.94       5.614       220.7     376.988    1.5879   0.3687   0.6417   0.28617  0.1581E-01  0.7051E-02   0.2076   0.2366   598.6       141.6       1.2314  0.1853    
