 
# QPROP Version 1.22
# 
# Nemo_CR: 380mm. 3.5m/s. 300W @ 375.417rpm                                       
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.11390E-02 kg/m-s
#   a   =  1484.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
    0.000   375.4      0.000   58.25       4.539       178.4     376.875    1.4753   0.3209   0.0000   0.00000  0.1796E-01  0.7368E-02   1.0010   0.0000   556.0       0.000       1.0302  0.5133    
    0.250   375.4      0.000   58.94       4.438       174.4     376.865    1.4647   0.3160   0.0845   0.03347  0.1818E-01  0.7203E-02   0.7876   0.0267   552.0       14.74       1.0485  0.4579    
    0.500   375.4      0.000   60.04       4.356       171.3     376.856    1.4562   0.3121   0.1753   0.06694  0.1852E-01  0.7071E-02   0.6327   0.0547   548.8       30.02       1.0680  0.3961    
    0.750   375.4      0.000   61.59       4.316       169.7     376.852    1.4520   0.3101   0.2723   0.10041  0.1899E-01  0.7005E-02   0.5236   0.0844   547.2       46.19       1.0874  0.3322    
    1.000   375.4      0.000   63.55       4.333       170.3     376.854    1.4538   0.3109   0.3731   0.13388  0.1960E-01  0.7033E-02   0.4469   0.1160   547.9       63.55       1.1054  0.2700    
    1.250   375.4      0.000   65.87       4.419       173.7     376.863    1.4628   0.3152   0.4739   0.16735  0.2031E-01  0.7173E-02   0.3919   0.1494   551.3       82.34       1.1215  0.2123    
    1.500   375.4      0.000   68.45       4.582       180.1     376.880    1.4798   0.3230   0.5700   0.20082  0.2111E-01  0.7437E-02   0.3514   0.1841   557.7       102.7       1.1353  0.1608    
    1.750   375.4      0.000   71.21       4.825       189.7     376.905    1.5052   0.3343   0.6571   0.23429  0.2196E-01  0.7831E-02   0.3207   0.2197   567.3       124.6       1.1465  0.1166    
    2.000   375.4      0.000   74.07       5.149       202.4     376.939    1.5392   0.3489   0.7318   0.26776  0.2284E-01  0.8357E-02   0.2966   0.2553   580.2       148.1       1.1553  0.8011E-01
    2.250   375.4      0.000   76.93       5.555       218.4     376.982    1.5817   0.3662   0.7927   0.30124  0.2372E-01  0.9015E-02   0.2771   0.2903   596.3       173.1       1.1618  0.5121E-01
    2.500   375.4      0.000   79.75       6.008       236.2     377.029    1.6292   0.3845   0.8442   0.33471  0.2459E-01  0.9751E-02   0.2608   0.3246   614.2       199.4       1.1654  0.2732E-01
    2.750   375.4      0.000   76.43       5.935       233.3     377.022    1.6216   0.3817   0.9008   0.36818  0.2357E-01  0.9634E-02   0.2295   0.3438   611.4       210.2       1.0777  0.2493E-02
    3.000   375.4      0.000   64.92       5.370       211.1     376.962    1.5623   0.3584   0.9227   0.40165  0.2002E-01  0.8715E-02   0.1807   0.3307   588.9       194.8       0.8869  0.1285E-02
    3.250   375.4      0.000   53.10       4.669       183.6     376.889    1.4889   0.3271   0.9402   0.43512  0.1638E-01  0.7578E-02   0.1376   0.3075   561.2       172.6       0.7030  0.1119E-02
    3.500   375.4      0.000   41.06       3.828       150.5     376.801    1.4008   0.2851   0.9550   0.46859  0.1266E-01  0.6213E-02   0.0995   0.2723   527.8       143.7       0.5268  0.1061E-02
    3.750   375.4      0.000   28.79       2.842       111.7     376.698    1.2976   0.2285   0.9664   0.50206  0.8878E-02  0.4612E-02   0.0655   0.2209   488.8       108.0       0.3586  0.1169E-02
    4.000   375.4      0.000   16.28       1.708       67.14     376.579    1.1789   0.1512   0.9701   0.53553  0.5022E-02  0.2772E-02   0.0349   0.1467   443.9       65.14       0.1984  0.1479E-02
    4.250   375.4      0.000   3.542      0.4226       16.61     376.444    1.0443   0.0423   0.9061   0.56900  0.1092E-02  0.6859E-03   0.0072   0.0383   393.1       15.05       0.0461  0.1953E-02
    4.500   375.4      0.000  -5.547     -0.1883      -7.404     376.380    0.9803  -0.0201   3.3715   0.60247 -0.1711E-02 -0.3057E-03  -0.0106  -0.0677   369.0      -24.96      -0.0392  0.2043E-01
    4.750   375.4      0.000  -7.132     -0.1026      -4.035     376.389    0.9893  -0.0108   8.3948   0.63594 -0.2199E-02 -0.1666E-03  -0.0129  -0.0910   372.3      -33.87      -0.0420  0.3219E-01
    5.000   375.4      0.000  -8.934      0.1953E-01  0.7677     376.402    1.0020   0.0020 -58.1876   0.66941 -0.2755E-02  0.3170E-04  -0.0154  -0.1184   377.2      -44.67      -0.0425  0.4508E-01
    5.250   375.4      0.000  -11.11      0.1684       6.619     376.418    1.0176   0.0173  -8.8121   0.70288 -0.3426E-02  0.2733E-03  -0.0182  -0.1523   383.1      -58.33      -0.0424  0.5926E-01
    5.500   375.4      0.000  -13.67      0.3399       13.36     376.436    1.0356   0.0343  -5.6251   0.73635 -0.4215E-02  0.5518E-03  -0.0214  -0.1928   389.8      -75.17      -0.0422  0.7428E-01
    5.750   375.4      0.000  -16.64      0.5320       20.91     376.456    1.0557   0.0526  -4.5747   0.76982 -0.5131E-02  0.8634E-03  -0.0249  -0.2407   397.4      -95.67      -0.0420  0.9002E-01
    6.000   375.4      0.000  -20.03      0.7427       29.20     376.478    1.0778   0.0720  -4.1161   0.80329 -0.6177E-02  0.1205E-02  -0.0288  -0.2962   405.8      -120.2      -0.0418  0.1063    
    6.250   375.4      0.000  -23.85      0.9704       38.15     376.502    1.1016   0.0920  -3.9070   0.83677 -0.7354E-02  0.1575E-02  -0.0329  -0.3593   414.8      -149.0      -0.0416  0.1228    
    6.500   375.4      0.000  -28.10       1.214       47.71     376.527    1.1271   0.1124  -3.8279   0.87024 -0.8665E-02  0.1970E-02  -0.0373  -0.4303   424.4      -182.6      -0.0413  0.1395    
    6.750   375.4      0.000  -32.78       1.471       57.83     376.554    1.1540   0.1331  -3.8268   0.90371 -0.1011E-01  0.2387E-02  -0.0419  -0.5092   434.6      -221.3      -0.0411  0.1563    
    7.000   375.4      0.000  -37.91       1.741       68.45     376.582    1.1823   0.1537  -3.8769   0.93718 -0.1169E-01  0.2826E-02  -0.0467  -0.5960   445.2      -265.4      -0.0409  0.1730    
    7.250   375.4      0.000  -43.48       2.023       79.53     376.612    1.2119   0.1743  -3.9636   0.97065 -0.1341E-01  0.3284E-02  -0.0518  -0.6907   456.4      -315.2      -0.0407  0.1895    
    7.500   375.4      0.000  -49.49       2.316       91.03     376.642    1.2425   0.1945  -4.0778   1.00412 -0.1526E-01  0.3758E-02  -0.0570  -0.7932   468.0      -371.2      -0.0405  0.2059    
    7.750   375.4      0.000  -55.96       2.618       102.9     376.674    1.2741   0.2144  -4.2139   1.03759 -0.1726E-01  0.4249E-02  -0.0624  -0.9036   479.9      -433.7      -0.0403  0.2220    
    8.000   375.4      0.000  -62.87       2.929       115.1     376.707    1.3067   0.2339  -4.3680   1.07106 -0.1939E-01  0.4754E-02  -0.0679  -1.0217   492.2      -502.9      -0.0401  0.2378    

