 
# QPROP Version 1.22
# 
# Nemo_CR: 380mm. 3.5m/s. 300W @ 375.417rpm                                       
# 
# Any motor                                                                       
#    1.0000      motor parameter 1 ,  R  (Ohms) 
#    1.0000      motor parameter 2 ,  Io (Amps) 
#    1.0000      motor parameter 3 ,  Kv (rpm/Vo
# 
#   rho =  1025.0     kg/m^3
#   mu  = 0.10020E-02 kg/m-s
#   a   =  1481.0     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   3.500   375.4      0.000   41.10       3.821       150.2     376.800    1.4001   0.2847   0.9578   0.46859  0.1267E-01  0.6201E-02   0.0996   0.2727   527.6       143.9       0.5269  0.3572E-03
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0279  0.0079  73.739   0.5081  0.00076    29810  0.002   0.9795   0.9947   3.506      0.3357      0.4784    
   0.0338  0.0109  70.471   0.5071  0.00064    41846  0.003   0.9762   0.9961   3.510      0.4534      0.4800    
   0.0397  0.0138  67.407   0.5133  0.00057    53968  0.003   0.9734   0.9970   3.515      0.5688      0.4814    
   0.0456  0.0165  64.546   0.5248  0.00051    66228  0.003   0.9707   0.9976   3.521      0.6850      0.4827    
   0.0515  0.0190  61.867   0.5389  0.00047    78577  0.003   0.9680   0.9980   3.528      0.8003      0.4841    
   0.0573  0.0213  59.323   0.5509  0.00044    90834  0.003   0.9656   0.9982   3.535      0.9073      0.4853    
   0.0632  0.0234  56.866   0.5567  0.00041   102771  0.003   0.9636   0.9984   3.542      0.9961      0.4863    
   0.0691  0.0252  54.473   0.5545  0.00039   114136  0.003   0.9623   0.9985   3.549       1.060      0.4869    
   0.0750  0.0266  52.166   0.5473  0.00037   124681  0.003   0.9616   0.9986   3.555       1.102      0.4873    
   0.0809  0.0277  49.975   0.5388  0.00036   134125  0.003   0.9611   0.9987   3.561       1.128      0.4875    
   0.0867  0.0285  47.923   0.5317  0.00035   142255  0.003   0.9608   0.9987   3.567       1.145      0.4877    
   0.0926  0.0289  46.018   0.5273  0.00034   149117  0.003   0.9604   0.9987   3.572       1.156      0.4879    
   0.0985  0.0290  44.264   0.5265  0.00033   154821  0.004   0.9599   0.9987   3.577       1.168      0.4882    
   0.1044  0.0289  42.657   0.5294  0.00033   159455  0.004   0.9592   0.9987   3.583       1.183      0.4885    
   0.1103  0.0286  41.164   0.5336  0.00033   162966  0.004   0.9583   0.9988   3.589       1.196      0.4890    
   0.1161  0.0281  39.746   0.5362  0.00032   165278  0.004   0.9577   0.9988   3.594       1.202      0.4893    
   0.1220  0.0274  38.368   0.5347  0.00032   166317  0.004   0.9574   0.9988   3.598       1.194      0.4894    
   0.1279  0.0265  37.034   0.5300  0.00032   166028  0.004   0.9575   0.9987   3.602       1.175      0.4894    
   0.1338  0.0254  35.761   0.5241  0.00032   164368  0.004   0.9577   0.9987   3.604       1.152      0.4893    
   0.1397  0.0242  34.565   0.5189  0.00033   161296  0.004   0.9579   0.9986   3.607       1.128      0.4892    
   0.1455  0.0229  33.447   0.5151  0.00033   156751  0.005   0.9580   0.9986   3.609       1.105      0.4891    
   0.1514  0.0213  32.403   0.5126  0.00034   150662  0.005   0.9581   0.9985   3.611       1.084      0.4891    
   0.1573  0.0197  31.430   0.5113  0.00035   142958  0.005   0.9580   0.9984   3.614       1.066      0.4891    
   0.1632  0.0179  30.525   0.5114  0.00036   133552  0.005   0.9577   0.9984   3.617       1.053      0.4893    
   0.1691  0.0159  29.688   0.5129  0.00038   122342  0.005   0.9571   0.9983   3.620       1.048      0.4896    
